首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"帝都","萌萌哒天团",非押爆,爆气,287,46,28,B - 左边单点,B - 左下单点、右下单点,986829,34 + 0.1
,,"帝都","萌萌哒天团",非押爆,爆气,274,44,20,B - 右边单点,B - 左边单点,984710,34 - 0.3
,,"帝都","萌萌哒天团",押爆,爆气,286,46,24,B - 左边单点,B - 左下单点、右下单点,992133,35 + 0.1
,,"帝都","萌萌哒天团",押爆,爆气,297,48,0,B - 左下滑点、右下滑点,B - 左下单点、右下单点,990011,35 - 0.3
,,"帝都","萌萌哒天团",押爆,爆气,281,45,24,B - 左下单点,B - 左边右滑条结尾、右边单点,989485,35 - 0.4
,,"帝都","萌萌哒天团",超极限,爆气,286,46,23,B - 左边单点,B - 左下单点、右下单点,992133,35 + 0.1
,,"帝都","萌萌哒天团",超极限,爆气,297,47,31,B - 左下滑点、右下滑点,B - 左下单点、右下单点,990011,35 - 0.3
,,"帝都","萌萌哒天团",超极限,爆气,281,45,23,B - 左下单点,B - 左边右滑条结尾、右边单点,989485,35 - 0.4
,,"猫步轻俏","AOA",非押爆,爆气,207,28,0,A - 左边单点,A - 右边左滑条中间,1019977,34 + 0.3
,,"猫步轻俏","AOA",非押爆,爆气,207,27,30,A - 左边单点,A - 右边左滑条中间,1018386,34 + 0.0
,,"猫步轻俏","AOA",非押爆,爆气,400,51,30,B - 左边单点,B - 左边滑点、右边滑点,1017859,34 - 0.1
,,"猫步轻俏","AOA",非押爆,爆气,208,28,4,A - 左下单点,A - 右边左滑条结尾,1017855,34 - 0.1
,,"猫步轻俏","AOA",非押爆,爆气,207,27,28,A - 左边单点,A - 右边左滑条开始,1016795,34 - 0.3
,,"猫步轻俏","AOA",非押爆,爆气,208,28,2,A - 左下单点,A - 右边左滑条中间,1016264,34 - 0.4
,,"猫步轻俏","AOA",非押爆,爆气,207,27,24,A - 左边单点,A - 左边长条结尾、右边单点,1015204,33 + 0.4
,,"猫步轻俏","AOA",押爆,爆气,207,28,0,A - 左边单点,A - 右边左滑条结尾,1023159,35 - 0.1
,,"猫步轻俏","AOA",押爆,爆气,207,27,30,A - 左边单点,A - 右边左滑条中间,1021568,35 - 0.4
,,"猫步轻俏","AOA",押爆,爆气,206,27,20,A - 右下单点,A - 左边长条结尾、右边单点,1020508,34 + 0.4
,,"猫步轻俏","AOA",押爆,爆气,207,27,28,A - 左边单点,A - 右边左滑条中间,1019977,34 + 0.3
,,"猫步轻俏","AOA",押爆,爆气,199,27,0,A - 左边单点、右边单点,A - 左边单点,1018916,34 + 0.1
,,"猫步轻俏","AOA",押爆,爆气,201,27,8,A - 左边单点,A - 左下单点,1018916,34 + 0.1
,,"猫步轻俏","AOA",押爆,爆气,203,27,16,A - 右边滑点,A - 左边长条中间、右边单点,1018385,34 + 0.0
,,"猫步轻俏","AOA",超极限,爆气,207,27,31,A - 左边单点,A - 右边左滑条结尾,1023159,35 - 0.1
,,"猫步轻俏","AOA",超极限,爆气,207,27,29,A - 左边单点,A - 右边左滑条中间,1021568,35 - 0.4
,,"猫步轻俏","AOA",超极限,爆气,206,27,19,A - 右下单点,A - 左边长条结尾、右边单点,1020508,34 + 0.4
,,"猫步轻俏","AOA",超极限,爆气,207,27,27,A - 左边单点,A - 右边左滑条中间,1019977,34 + 0.3
,,"猫步轻俏","AOA",超极限,爆气,199,26,31,A - 左边单点、右边单点,A - 左边单点、一单点（cool）,1019036,35 + 0.1
,,"猫步轻俏","AOA",超极限,爆气,201,27,7,A - 左边单点,A - 左下单点,1018916,34 + 0.1
,,"猫步轻俏","AOA",超极限,爆气,203,27,15,A - 一单点（cool）、右边滑点,A - 左边长条中间、右边单点、二单点（cool）,1018625,36 + 0.0
