首字母,等级,歌名,歌手,类型,技能,状态,先后,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,287,46,28,B - 左边单点,B - 左下单点、右下单点,1142220,63 + 0.4
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,405,58,0,B - 中间单点,B - 右边单点,1142220,63 + 0.4
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,287,46,28,B - 左边单点,B - 左下单点、右下单点,1141692,63 + 0.3
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,394,56,24,B - 左边单点,B - 右边长条中间,1141692,63 + 0.3
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,287,46,28,B - 左边单点,B - 左下单点、右下单点,1141161,63 + 0.2
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,387,56,4,B - 右下右滑条中间,B - 左下单点、右下单点,1141161,63 + 0.2
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,274,44,20,B - 右边单点,B - 左边单点,1140101,63 + 0.0
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,405,58,0,B - 中间单点,B - 右边单点,1140101,63 + 0.0
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,287,46,28,B - 左边单点,B - 左下单点、右下单点,1140101,63 + 0.0
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,391,56,12,B - 右下右滑条中间,B - 左边单点,1140101,63 + 0.0
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,287,46,28,B - 左边单点,B - 左下单点、右下单点,1140101,63 + 0.0
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,394,56,22,B - 左边单点,B - 右边长条中间,1140101,63 + 0.0
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,287,46,28,B - 左边单点,B - 左下单点、右下单点,1140098,63 + 0.0
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,419,59,16,B - 中间单点,B - 左边右滑条中间,1140098,63 + 0.0
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,274,44,20,B - 右边单点,B - 左边单点,1139573,63 - 0.1
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,394,56,24,B - 左边单点,B - 右边长条中间,1139573,63 - 0.1
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,282,45,28,B - 右边单点,B - 左边右滑条结尾、右边单点,1139572,63 - 0.1
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,405,58,0,B - 中间单点,B - 右边单点,1139572,63 - 0.1
,,"帝都","萌萌哒天团",非押爆,爆气,分开,一爆,287,46,28,B - 左边单点,B - 左下单点、右下单点,1139570,63 - 0.1
,,"帝都","萌萌哒天团",非押爆,爆气,分开,二爆,388,56,6,B - 右下右滑条中间,B - 左下单点、右下单点,1139570,63 - 0.1
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,286,46,24,B - 左边单点,B - 左下单点、右下单点,1151238,65 + 0.1
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,385,56,0,B - 右下右滑条开始,B - 左下单点、右下单点,1151238,65 + 0.1
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,286,46,24,B - 左边单点,B - 左下单点、右下单点,1150178,65 - 0.1
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,394,56,24,B - 左边单点,B - 右边长条结尾,1150178,65 - 0.1
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,286,46,24,B - 左边单点,B - 左下单点、右下单点,1149647,65 - 0.2
