首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
J,6,"Jar Of Love","曲婉婷",非押爆,极限,308,56,8,B - 左边单点、右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1439941,36 + 0.3
J,6,"Jar Of Love","曲婉婷",非押爆,极限,310,56,9,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1438210,35 + 0.3
J,6,"Jar Of Love","曲婉婷",非押爆,极限,306,56,4,B - 右边长条中间,B - 左边连点第 1 个、右边连点第 1 个,1437517,35 - 0.1
J,6,"Jar Of Love","曲婉婷",非押爆,极限,296,54,12,B - 左边单点,B - 左边单点,1437344,35 - 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,极限,298,54,24,B - 右边单点,B - 左边连点第 2 个,1437344,35 - 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,极限,299,54,28,B - 左边滑键,B - 左边连点第 3 个,1437344,35 - 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,极限,300,55,4,B - 右边单点,B - 左边滑键,1437344,35 - 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,极限,301,55,12,B - 左边白球,B - 右边单点,1437344,35 - 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,极限,302,55,24,B - 右边单点,B - 左边单点,1437343,35 - 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,极限,303,55,28,B - 左边单点、右边长条开始,B - 右边单点,1437343,35 - 0.2
J,6,"Jar Of Love","曲婉婷",押爆,极限,306,56,4,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1440979,37 - 0.1
J,6,"Jar Of Love","曲婉婷",押爆,极限,303,56,0,B - 左边单点、右边长条开始,B - 左边连点第 1 个、右边连点第 1 个,1440805,37 - 0.2
J,6,"Jar Of Love","曲婉婷",押爆,极限,307,56,6,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1440460,37 - 0.4
