首字母,等级,歌名,歌手,类型,技能,状态,先后,爆点,bar,box,开头描述,结尾描述,分数,指数
J,6,"Jar Of Love","曲婉婷",非押爆,爆气,分开,一爆,308,56,8,B - 左边单点、右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1616468,71 - 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,爆气,分开,二爆,380,63,16,B - 左边单点,B - 左边长条中间,1616468,71 - 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,爆气,分开,一爆,308,56,8,B - 左边单点、右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1614877,71 - 0.5
J,6,"Jar Of Love","曲婉婷",非押爆,爆气,分开,二爆,380,63,14,B - 左边单点,B - 左边长条中间,1614877,71 - 0.5
J,6,"Jar Of Love","曲婉婷",非押爆,爆气,分开,一爆,308,56,8,B - 左边单点、右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1613286,70 + 0.2
J,6,"Jar Of Love","曲婉婷",非押爆,爆气,分开,二爆,380,63,12,B - 左边单点,B - 左边长条中间、右边白球,1613286,70 + 0.2
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,306,56,4,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1622832,72 + 0.0
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,380,63,16,B - 左边单点,B - 左边长条结尾,1622832,72 + 0.0
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,306,56,4,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1622832,72 + 0.0
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,385,64,16,B - 右边白球,B - 左边白球,1622832,72 + 0.0
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,307,56,5,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1622832,72 + 0.0
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,380,63,16,B - 左边单点,B - 左边长条结尾,1622832,72 + 0.0
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,307,56,5,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1622832,72 + 0.0
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,385,64,16,B - 右边白球,B - 左边白球,1622832,72 + 0.0
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,303,56,0,B - 左边单点、右边长条开始,B - 左边连点第 1 个、右边连点第 1 个,1622301,72 - 0.1
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,380,63,16,B - 左边单点,B - 左边长条结尾,1622301,72 - 0.1
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,303,56,0,B - 左边单点、右边长条开始,B - 左边连点第 1 个、右边连点第 1 个,1622301,72 - 0.1
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,385,64,16,B - 右边白球,B - 左边白球,1622301,72 - 0.1
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,306,56,4,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1621772,72 - 0.2
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,379,63,8,B - 右边单点,B - 左边长条中间、右边白球,1621772,72 - 0.2
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,303,56,0,B - 左边单点、右边长条开始,B - 左边连点第 1 个、右边连点第 1 个,1621241,72 - 0.3
