首字母,等级,歌名,歌手,bgm路径,无技能裸分,极限技能裸分,半cb,全cb,分数变化
J,6,"Jar Of Love","曲婉婷",100057,1240954,1377111,194,564,
B,6,"BONAMANA","Super Junior",100195,1155362,1282307,146,378,
B,8,"Baby Boy","王心凌",100026,1810588,2009303,330,789,
,,"动物森林","范玮琪",100004,693459,769568,124,297,
,,"黑暗骑士","林俊杰/五月天",100383,1097330,1217652,314,594,
,,"Trouble Is a Friend","Lenka",100130,971906,1078378,249,598,
B,6,"Bad Girl","吴亦凡",100106,1234337,1369733,246,605,
,,"Always Online","林俊杰",100040,821912,912048,239,441,
H,8,"火花","高耀太",100171,1821365,2021137,405,896,
Y,8,"YESTERDAY","Block B",100511,1428232,1584813,309,748,
L,6,"Landing","温岚",100224,1028768,1141705,212,414,
G,6,"Good Time","Owl City",100088,968006,1074237,238,431,
J,8,"JELLY JELLY","TWICE",100022,1545739,1715369,362,672,
Q,7,"七年的爱","金贤政",100172,965406,1071174,185,577,
W,6,"王妃","萧敬腾",100102,1057758,1173728,234,553,
W,6,"What Makes You Beautiful","One Direction",100099,977626,1084755,223,563,50
,,"Born This Way","Lady Gaga",100445,1035580,1149201,209,481,
L,8,"L.I.E","EXID",100273,1223222,1357398,339,611,
X,6,"幸福的节拍","杨丞琳",100208,1105117,1226275,259,584,
K,9,"卡农","Pachelbel",100240,1912443,2122226,426,931,100
F,9,"Firefly","Abba Teens",100216,1179555,1308914,330,584,
,,"专属味道","汪苏泷/林希儿",100566,1098942,1219430,289,603,
,,"Try Everything","Shakira",100302,987220,1095514,233,489,
,,"Numb","Linkin Park",100526,844233,936751,200,492,
A,7,"Apple Is A","T-ara",100210,855946,949896,192,385,
,,"棉花糖","至上励合",100441,510939,567007,95,228,
X,6,"炫舞国度","BOX.COM",100485,1169636,1298062,217,439,
I,7,"I Want My Tears Back","NIGHT WISH",100170,1721408,1910340,289,733,
,,"小酒窝","林俊杰",100068,757549,840721,166,311,
,,"背对背拥抱","林俊杰",100063,873002,968699,272,474,
,,"直到世界终结 ","WANDS",100522,665730,738711,122,363,
L,6,"Look What You Made Me Do","Taylor Swift",100594,1030770,1143941,153,402,
,,"剩下的盛夏","TFBOYS",100269,748878,830950,221,447,
N,9,"你，有没有过","林俊杰",100474,1807585,2005731,423,995,100
,,"万有引力","汪苏泷",100484,365625,405749,62,185,
G,9,"Gee","少女时代",100442,1534715,1702813,492,946,
B,7,"Bing Bing","Crayon Pop",100433,1534156,1702493,373,720,
B,9,"Butter Fly","和田光司",100626,1863290,2067513,469,1031,
,,"Rage Your Dream","M.O.V.E",100202,1217476,1350952,339,645,
B,6,"Baby","Justin Bieber",100664,1031524,1144665,270,523,
R,6,"Right Now","rihanna",100200,1290341,1431624,445,858,
,,"小情歌","苏打绿",100531,903071,1002125,186,458,
X,6,"修炼爱情","林俊杰 ",100549,1228656,1363267,218,727,
C,9,"chAngE","miwa",100493,1914978,2125114,412,864,
G,6,"给我一个理由忘记","A-Lin",100044,1083615,1202298,245,680,
,,"OKAY","王嘉尔",101173,742313,823673,202,438,
,,"稀罕没理由","潘玮柏",100552,406523,451126,115,202,
,,"走着走着就散了","庄心妍",100547,945802,1049504,236,512,
,,"绿光","孙燕姿",100521,877097,973304,171,437,
,,"萤火","TFBOYS",100422,788515,875064,133,314,
T,8,"to the beginning","Kalafina",100591,1445002,1603214,625,949,
,,"左边","杨丞琳",100525,964951,1070867,214,421,
,,"不朽之罪","双笙/玄觞",100588,646568,717496,118,309,
W,6,"What Do You Mean?","Justin Bieber",100615,1100775,1221589,200,462,
,,"第一次爱的人","王心凌",100517,753714,836254,249,500,
,,"一舞钟情","A-Lin",101842,861601,956095,191,429,
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",100592,476710,529029,77,207,
B,7,"Brave Heart","宮崎歩",100764,1326182,1471564,438,746,
Z,7,"再遇不到你这样的人","庄心妍",100619,1298284,1440613,321,694,
J,9,"禁绝边境线","Walküre",100003,1866150,2070762,399,971,
T,6,"Telephone","Lady GaGa",100415,1181960,1311657,280,537,
,,"可以了","陈奕迅",100644,885352,982477,220,428,
Q,8,"青鸟","生物股长",100605,1927133,2138720,357,779,
,,"夜空中最亮的星","逃跑计划",100704,876967,973011,292,568,
,,"心率","鹿晗",100707,409617,454468,98,275,
,,"恋爱循环","花泽香菜",100514,792662,879723,127,262,
*,9,"ペガサス幻想","MAKE-UP",100647,1594931,1769941,287,737,
T,6,"Timber","Pitbull",100583,1187134,1317336,236,610,
,,"Booty Music","Git Fresh",100124,918710,1019485,193,454,
K,6,"KNOCK KNOCK","TWICE",100678,996580,1105861,190,507,
,,"我们不该这样的","张赫宣",100013,755768,838736,112,301,
A,6,"爱投罗网","罗志祥",100648,1207830,1340304,199,600,
B,6,"Boys","Charli XCX",101084,1070108,1187376,291,598,
,,"非酋","薛明媛/朱贺",100573,793026,880065,154,344,
,,"无限大","孙燕姿",101088,918489,1019285,303,425,20
,,"炫舞","陈伟霆",101351,963755,1069230,354,682,
,,"Faded","Alan Walker",100008,692523,768343,203,475,
