首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"小酒窝","林俊杰",非押爆,爆气,290,58,20,B - 一轨单点,B - 一轨单点、四轨单点,907608,28 + 0.0
,,"小酒窝","林俊杰",非押爆,爆气,305,61,28,B - 一轨单点、四轨单点,B - 二轨单点,906015,28 - 0.3
,,"小酒窝","林俊杰",非押爆,爆气,307,62,4,B - 一轨单点,B - 一轨单点、四轨单点,906015,28 - 0.3
,,"小酒窝","林俊杰",押爆,爆气,305,62,0,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,916623,30 - 0.3
,,"小酒窝","林俊杰",押爆,爆气,289,58,16,B - 三轨单点,B - 一轨单点、四轨单点,912912,29 + 0.0
,,"小酒窝","林俊杰",超极限,爆气,305,61,31,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,916623,30 - 0.3
,,"小酒窝","林俊杰",超极限,爆气,289,58,15,B - 三轨单点,B - 一轨单点、四轨单点,912912,29 + 0.0
,,"Maps","Maroon 5",非押爆,极限,471,74,4,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,1025988,26 + 0.0
,,"Maps","Maroon 5",非押爆,极限,155,25,4,A - 三轨长条中间,A - 四轨单点,1025823,26 - 0.1
,,"Maps","Maroon 5",非押爆,极限,385,66,24,B - 一轨单点、四轨单点,B - 一轨长条中间,1025820,26 - 0.1
,,"Maps","Maroon 5",非押爆,极限,153,25,0,A - 三轨长条开始,A - 四轨单点,1025649,26 - 0.2
,,"Maps","Maroon 5",非押爆,极限,469,74,0,B - 一轨长条开始,B - 一轨长条中间、四轨长条中间,1025469,26 - 0.3
,,"Maps","Maroon 5",非押爆,极限,470,74,2,B - 一轨长条中间,B - 一轨长条中间、四轨长条中间,1025469,26 - 0.3
,,"Maps","Maroon 5",非押爆,极限,156,25,6,A - 三轨长条中间,A - 四轨单点,1025304,26 - 0.4
,,"Maps","Maroon 5",非押爆,极限,157,25,7,A - 二轨长条开始、三轨长条中间,A - 四轨单点,1025304,26 - 0.4
,,"Maps","Maroon 5",非押爆,极限,385,66,22,B - 一轨单点、四轨单点,B - 一轨长条中间,1025301,26 - 0.4
,,"Maps","Maroon 5",非押爆,极限,154,25,1,A - 三轨长条中间,A - 四轨单点,1025130,26 - 0.5
,,"Maps","Maroon 5",押爆,爆气,385,66,24,B - 一轨单点、四轨单点,B - 一轨长条右滑,1029968,28 - 0.5
,,"Maps","Maroon 5",押爆,极限,385,66,24,B - 一轨单点、四轨单点,B - 一轨长条右滑,1028589,28 - 0.5
,,"Maps","Maroon 5",押爆,极限,469,74,0,B - 一轨长条开始,B - 一轨长条结尾、四轨长条结尾,1027545,27 - 0.1
,,"Maps","Maroon 5",押爆,极限,153,25,0,A - 三轨长条开始,A - 四轨单点,1027380,27 - 0.2
,,"Maps","Maroon 5",押爆,极限,154,25,1,A - 三轨长条中间,A - 四轨单点,1026861,27 - 0.5
