首字母,等级,歌名,歌手,类型,技能,状态,先后,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"小酒窝","林俊杰",非押爆,爆气,存气,一爆,162,33,8,A - 一轨单点,A - 三轨单点,1056120,56 + 0.0
,,"小酒窝","林俊杰",非押爆,爆气,存气,二爆,284,57,20,B - 三轨单点,B - 二轨单点,1056120,56 + 0.0
,,"小酒窝","林俊杰",押爆,爆气,存气,一爆,161,33,0,A - 四轨单点,A - 三轨单点,1061424,57 + 0.0
,,"小酒窝","林俊杰",押爆,爆气,存气,二爆,284,57,20,B - 三轨单点,B - 二轨单点,1061424,57 + 0.0
,,"小酒窝","林俊杰",押爆,爆气,存气,一爆,162,33,8,A - 一轨单点,A - 三轨单点,1061424,57 + 0.0
,,"小酒窝","林俊杰",押爆,爆气,存气,二爆,284,57,20,B - 三轨单点,B - 二轨单点,1061424,57 + 0.0
,,"小酒窝","林俊杰",押爆,爆气,分开,一爆,145,29,16,A - 三轨单点,A - 三轨单点,1059831,57 - 0.3
,,"小酒窝","林俊杰",押爆,爆气,分开,二爆,305,62,0,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,1059831,57 - 0.3
,,"小酒窝","林俊杰",押爆,爆气,存气,一爆,162,33,7,A - 一轨单点,A - 三轨单点,1059302,57 - 0.4
,,"小酒窝","林俊杰",押爆,爆气,存气,二爆,282,57,13,B - 二轨长条中间,B - 二轨单点,1059302,57 - 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,一爆,118,25,8,A - 四轨单点,A - 一轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,二爆,305,62,0,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,一爆,121,25,24,A - 二轨单点,A - 二轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,二爆,305,62,0,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,一爆,122,26,0,A - 四轨单点,A - 四轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,二爆,305,62,0,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,一爆,262,54,8,B - 一轨单点,B - 二轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,二爆,305,62,0,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,一爆,265,54,24,B - 三轨单点,B - 三轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,二爆,305,62,0,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,一爆,266,55,0,B - 二轨单点,B - 一轨单点,1058238,56 + 0.4
,,"小酒窝","林俊杰",押爆,爆气,分开,二爆,305,62,0,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,1058238,56 + 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,155,25,4,A - 三轨长条中间,A - 四轨单点,1159376,52 - 0.1
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,471,74,4,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,1159376,52 - 0.1
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,385,66,24,B - 一轨单点、四轨单点,B - 一轨长条中间,1159374,52 - 0.1
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,471,74,4,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,1159374,52 - 0.1
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,155,25,4,A - 三轨长条中间,A - 四轨单点,1158849,52 - 0.2
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,385,66,24,B - 一轨单点、四轨单点,B - 一轨长条中间,1158849,52 - 0.2
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,153,25,0,A - 三轨长条开始,A - 四轨单点,1158845,52 - 0.2
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,471,74,4,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,1158845,52 - 0.2
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,153,25,0,A - 三轨长条开始,A - 四轨单点,1158318,52 - 0.3
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,385,66,24,B - 一轨单点、四轨单点,B - 一轨长条中间,1158318,52 - 0.3
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,155,25,4,A - 三轨长条中间,A - 四轨单点,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,469,74,0,B - 一轨长条开始,B - 一轨长条中间、四轨长条中间,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,155,25,4,A - 三轨长条中间,A - 四轨单点,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,470,74,2,B - 一轨长条中间,B - 一轨长条中间、四轨长条中间,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,156,25,5,A - 三轨长条中间,A - 四轨单点,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,469,74,0,B - 一轨长条开始,B - 一轨长条中间、四轨长条中间,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,156,25,5,A - 三轨长条中间,A - 四轨单点,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,470,74,2,B - 一轨长条中间,B - 一轨长条中间、四轨长条中间,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,一爆,157,25,7,A - 二轨长条开始、三轨长条中间,A - 四轨单点,1157785,52 - 0.4
,,"Maps","Maroon 5",非押爆,爆气,分开,二爆,471,74,4,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,1157785,52 - 0.4
,,"Maps","Maroon 5",押爆,爆气,分开,一爆,385,66,24,B - 一轨单点、四轨单点,B - 一轨长条右滑,1172633,54 + 0.4
,,"Maps","Maroon 5",押爆,爆气,分开,二爆,469,74,0,B - 一轨长条开始,B - 一轨长条结尾、四轨长条结尾,1172633,54 + 0.4
,,"Maps","Maroon 5",押爆,爆气,分开,一爆,153,25,0,A - 三轨长条开始,A - 四轨单点,1172108,54 + 0.3
,,"Maps","Maroon 5",押爆,爆气,分开,二爆,385,66,24,B - 一轨单点、四轨单点,B - 一轨长条右滑,1172108,54 + 0.3
,,"Maps","Maroon 5",押爆,爆气,分开,一爆,154,25,1,A - 三轨长条中间,A - 四轨单点,1170517,54 + 0.0
