首字母,等级,文件名,歌名,歌手,bgm路径,无技能裸分,极限技能裸分,半cb,全cb,分数变化
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",gyg,3915745,4345515,1860,1860,50
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",beiduofenbingdu,2284830,2535667,1058,1058,
,,Dogs Eating Dogs 5k节奏转谱 187.xml,"Dogs Eating Dogs 5k节奏转谱","Blink-182",gyg,3915745,4345515,1860,1860,50
,,Bad Apple!! 4k节奏转谱 207.xml,"Bad Apple!! 4k节奏转谱","Nomiko",badapple,2862550,3176565,1487,1487,
,,Dear Mozart 4k节奏转谱 210_odd.xml,"Dear Mozart 4k节奏转谱","JerryC",dearmozart,4765347,5287912,2589,2589,
,,Asura 4k节奏转谱 265.5.xml,"Asura 4k节奏转谱","AstroKid",asura,3155466,3501560,1707,1707,
,,Bad Apple!! 5k节奏转谱 207.xml,"Bad Apple!! 5k节奏转谱","Nomiko",badapple,2611104,2897528,1371,1371,
,,Drama 5k节奏转谱 201.xml,"Drama 5k节奏转谱","Diana Boncheva",drama,3185457,3534894,1667,1667,20
,,Beethoven Virus 4k节奏转谱 312_odd.xml,"Beethoven Virus 4k节奏转谱","Diana Boncheva",beiduofenbingdu,2392743,2655342,1173,1173,
,,Drama 5k节奏转谱 268.xml,"Drama 5k节奏转谱","Diana Boncheva",drama,3371032,3740701,1864,1864,20
,,Asura 5k节奏转谱 354.xml,"Asura 5k节奏转谱","AstroKid",asura,3594541,3988700,2008,2008,
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",loveofredmoon,2671801,2964780,1469,1469,
,,Drama 4k节奏转谱 201.xml,"Drama 4k节奏转谱","Diana Boncheva",drama,3167049,3514483,1645,1645,20
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",dearmozart,5396003,5987310,3255,3255,
,,Drunkenstein 4k节奏转谱 192.xml,"Drunkenstein 4k节奏转谱","Paul Bazooka",drunkenstein,3416298,3791279,1596,1596,
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",beiduofenbingdu,2396487,2659494,1177,1177,
,,Bad Apple!! 4k节奏转谱 276_odd.xml,"Bad Apple!! 4k节奏转谱","Nomiko",badapple,3055730,3390801,1693,1693,
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",goldtown,3446224,3824545,1599,1599,
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",gyg,4274844,4743754,2242,2242,20、50
,,Asura 5k节奏转谱 265.5.xml,"Asura 5k节奏转谱","AstroKid",asura,3360450,3729098,1758,1758,
,,Goldtown 5k节奏转谱 240.xml,"Goldtown 5k节奏转谱","Memme",goldtown,3483352,3865734,1627,1627,
,,Drama 4k节奏转谱 268.xml,"Drama 4k节奏转谱","Diana Boncheva",drama,3350752,3718214,1840,1840,20
,,Beethoven Virus 4k节奏转谱 234.xml,"Beethoven Virus 4k节奏转谱","Diana Boncheva",beiduofenbingdu,2282022,2532553,1055,1055,
,,Toy War 4k节奏转谱 240.xml,"Toy War 4k节奏转谱","M2U",toywar,3195337,3546099,1459,1459,
,,Extreme Fantasy 4k节奏转谱 228_odd.xml,"Extreme Fantasy 4k节奏转谱","Memme",jixianshengcun,5519802,6125305,2826,2826,
,,Drunkenstein 5k节奏转谱 256_odd.xml,"Drunkenstein 5k节奏转谱","Paul Bazooka",drunkenstein,3551641,3941381,1737,1737,20
,,The Raising Fighting Spirit 5k节奏转谱 210.xml,"The Raising Fighting Spirit 5k节奏转谱","火影忍者",theraisingfightingspirit,2148447,2383879,1318,1318,
,,The Raising Fighting Spirit 4k节奏转谱 210.xml,"The Raising Fighting Spirit 4k节奏转谱","火影忍者",theraisingfightingspirit,2111319,2342690,1290,1290,
,,Faraway 4k节奏转谱 216.xml,"Faraway 4k节奏转谱","Diana Boncheva",faraway,3163240,3510190,1705,1705,
,,Dear Mozart 5k节奏转谱 210_odd.xml,"Dear Mozart 5k节奏转谱","JerryC",dearmozart,4769091,5292073,2586,2586,
,,REANIMATE 4k节奏转谱 261.xml,"REANIMATE 4k节奏转谱","Warak",reanimate,4158312,4614247,2331,2331,
,,Love of red moon 4k节奏转谱 300.xml,"Love of red moon 4k节奏转谱","Lotze",loveofredmoon,2841841,3153338,1660,1660,
,,Bad Apple!! 5k节奏转谱 276_odd.xml,"Bad Apple!! 5k节奏转谱","Nomiko",badapple,2797732,3104496,1570,1570,
,,Drunkenstein 5k节奏转谱 192.xml,"Drunkenstein 5k节奏转谱","Paul Bazooka",drunkenstein,3418482,3793704,1596,1596,
,,Purple Passion 4k节奏转谱 252.xml,"Purple Passion 4k节奏转谱","Diana Boncheva",zisejiqing,3058369,3393627,1798,1798,100
,,Asura 4k节奏转谱 354.xml,"Asura 4k节奏转谱","AstroKid",asura,3395173,3767390,1963,1963,
,,Love of red moon 5k节奏转谱 300.xml,"Love of red moon 5k节奏转谱","Lotze",loveofredmoon,2854321,3167190,1664,1664,
,,Take Flight 5k节奏转谱 210.xml,"Take Flight 5k节奏转谱","Lindsey Stirling",takeflight,3119859,3461753,1909,1909,
,,桃源郷的外星人 4k节奏转谱 255.xml,"桃源郷的外星人 4k节奏转谱","serial TV drama",taoyuanxiangwaixingren,3391871,3763303,2277,2277,
,,Love of red moon 4k节奏转谱 225.xml,"Love of red moon 4k节奏转谱","Lotze",loveofredmoon,2659321,2950928,1465,1465,
,,Dear Mozart 4k节奏转谱 315.xml,"Dear Mozart 4k节奏转谱","JerryC",dearmozart,5395067,5986263,3261,3261,
,,少女绮想曲 4k节奏转谱 240.xml,"少女绮想曲 4k节奏转谱","Jun.A",shaonvqixiangqu,3850277,4272389,2205,2205,
,,Dogs Eating Dogs 5k节奏转谱 280.5.xml,"Dogs Eating Dogs 5k节奏转谱","Blink-182",gyg,4274844,4743754,2242,2242,20、50
,,Faraway 5k节奏转谱 288_odd.xml,"Faraway 5k节奏转谱","Diana Boncheva",faraway,3450865,3829162,2012,2012,
,,少女幻葬 5k节奏转谱 246.xml,"少女幻葬 5k节奏转谱","Jun.A",shaonvhuanzang,5192566,5761923,2875,2875,
,,REANIMATE 5k节奏转谱 261.xml,"REANIMATE 5k节奏转谱","Warak",reanimate,4280707,4750032,2422,2422,
,,卡农摇滚版 5k节奏转谱 200_odd.xml,"卡农摇滚版 5k节奏转谱","JerryC",canonrock,5185234,5754033,2670,2670,100
,,Take My Hand 4k节奏转谱 232.2.xml,"Take My Hand 4k节奏转谱","Simple Plan",takemyhand,3620671,4017400,2215,2215,
,,Goldtown 4k节奏转谱 320.xml,"Goldtown 4k节奏转谱","Memme",goldtown,3590368,3984397,1753,1753,
,,Faraway 5k节奏转谱 216.xml,"Faraway 5k节奏转谱","Diana Boncheva",faraway,3164176,3511228,1706,1706,
,,雪愿2 4k节奏转谱 195.xml,"雪愿2 4k节奏转谱","Wolf.R",xueyuan2,1952433,2166680,968,968,
,,Toy War 5k节奏转谱 240.xml,"Toy War 5k节奏转谱","M2U",toywar,3195337,3546099,1459,1459,
