首字母,等级,歌名,歌手,bgm路径,无技能裸分,极限技能裸分,半cb,全cb,分数变化
,,"小酒窝","林俊杰",100068,759046,842436,179,341,
,,"Maps","Maroon 5",100052,884067,981000,245,540,
,,"Rage Your Dream","M.O.V.E",100202,1066392,1183358,328,605,
B,6,"Bo Peep Bo Peep","T-ara",100187,1105912,1227256,269,557,
,,"萤火","TFBOYS",100422,931595,1033716,265,569,
,,"给我一个理由忘记","A-Lin",100044,1290291,1431519,347,953,
,,"李白","李荣浩",100014,715444,793907,248,442,
,,"第一次爱的人","王心凌",100517,613758,680969,203,458,
,,"当你","林俊杰",100357,1203243,1335104,251,762,
H,6,"Here With You","Asher Book",100108,1010843,1121796,236,502,
T,6,"Timber","Pitbull",100583,1153505,1280108,203,592,
B,6,"Bad Girl","吴亦凡",100106,1396176,1549235,345,836,
,,"Sometimes","Kat Graham",100504,787035,873297,213,497,
O,7,"偶像万万岁","TimeZ",100225,1022127,1134240,272,572,
,,"爱的就是你","刘佳",100561,757525,840718,160,342,
L,6,"Landing","温岚",100224,843455,935991,215,462,
,,"不醉不会","田馥甄",100636,1319021,1463600,409,805,
K,10,"空想神话","妖精帝国",100167,2698633,2994233,915,1745,
B,8,"Baby Boy","王心凌",100026,1741378,1932521,340,827,
,,"曖昧スクリーム","平野绫",100175,2374140,2634392,676,1399,
,,"丑八怪","薛之谦",100622,1151022,1277252,264,661,
,,"Trap","Henry",100919,445330,494199,137,266,
J,8,"禁绝边境线","Walküre",100003,1464803,1625258,443,966,
J,6,"Jar Of Love","曲婉婷",100057,1190139,1320558,281,769,
,,"帝都","萌萌哒天团",100055,534458,593039,109,362,
,,"Born This Way","Lady Gaga",100445,827764,918588,206,450,
,,"因你而在","林俊杰",100346,733384,813770,220,481,
,,"凉凉","杨宗纬/张碧晨",100738,586185,650346,157,465,
,,"娃娃脸","后弦",100247,815193,904600,248,488,
H,9,"Hacking to the Gate","伊藤加奈子",100466,1859873,2063686,569,1160,50
,,"猫步轻俏","AOA",100194,741626,823035,215,385,
,,"浪漫惊喜","kent王健",100481,442626,491121,127,323,
,,"桃花旗袍","BY2",100494,659219,731573,142,355,100
,,"Numb","Linkin Park",100526,926616,1028092,244,668,
,,"Animals","Maroon 5",100085,466754,517874,201,362,
,,"江南","林俊杰",100527,757616,840643,213,496,
,,"有点甜","汪苏泷 / BY2",100542,770057,854587,177,397,
,,"Boom Clap","Charli XCX",100367,601941,667993,131,343,
W,6,"王妃","萧敬腾",100102,1084904,1203735,281,743,
,,"Booty Music","Git Fresh",100124,1063142,1179832,277,543,
G,6,"Good Time","Owl City",100088,1024285,1136610,284,592,
S,9,"SWEET TALKER","TWICE",101686,1903254,2111873,530,1145,
,,"FIVE","Apink",100560,845457,938239,278,455,50
,,"唐人","孙子涵",100111,648260,719350,155,399,
B,6,"BONAMANA","Super Junior",100195,1186837,1317069,244,621,
,,"我们不该这样的","张赫宣",100013,698206,774870,144,346,
L,6,"Look What You Made Me Do","Taylor Swift",100594,1032592,1145929,210,530,
W,6,"Wonderland","gugudan",100226,929788,1031810,238,503,
,,"Real Change","Masetti",102931,875422,971519,212,435,
F,9,"Fight For You","潘玮柏",101375,1949339,2162858,639,1297,20
L,6,"Love So Soft","Kelly Clarkson",100595,1182690,1312450,313,633,
X,6,"幸福的节拍","杨丞琳",100208,952577,1057049,246,550,
,,"不完美小孩","TFBOYS",100155,790233,876816,208,529,
,,"等我先说","夏天Alex",100510,991317,1099927,346,661,
B,6,"Baby","Justin Bieber",100664,960793,1066178,268,551,
,,"Just Dance","Lady GaGa",100236,960845,1066121,288,644,
,,"The Fire","吉克隽逸",103372,765793,849731,270,506,
,,"长腿叔叔","袁娅维",102402,638406,708429,171,391,
,,"黑暗骑士","林俊杰/五月天",100383,997895,1107376,273,550,
,,"Just Like Fire","P!nk",100620,1893322,2101010,403,1008,
H,7,"火花","高耀太",100171,1551487,1721694,414,821,
,,"Crossing Field","LiSA",100610,2622219,2909028,903,2047,50
,,"Firefly","Abba Teens",100216,1496172,1660027,438,1021,
,,"微微一笑很倾城","杨洋",100018,1131145,1255127,351,719,
B,6,"Bright Spring","M2U",100469,1030200,1143176,252,578,
P,10,"Play 我呸","蔡依林",100205,2084682,2313313,570,1130,50
,,"带你去旅行","校长",100670,857248,951279,247,492,
,,"OKAY","王嘉尔",101173,772644,857297,240,528,
,,"淘汰","陈奕迅",100686,810864,899661,253,598,
,,"我的梦","张靓颖",100708,876865,972929,238,606,
,,"New Divide","Linkin Park",100529,851385,944634,352,599,
,,"邮递马车","Hermann Necke",100168,1457354,1617303,275,725,
,,"期待","Girl's Day",101175,966838,1072889,239,535,
,,"一笑倾城","汪苏泷",100076,882845,979789,161,409,
M,6,"没有选择","胡彦斌",100473,1062674,1179317,267,525,
B,8,"Bubble Pop!","泫雅",100564,1441286,1599378,364,786,
,,"全部都是你","Dragon Pig",101362,507158,562749,174,348,
,,"今天你要嫁给我","陶喆/蔡依林",100596,462373,513112,145,281,
M,6,"Mimimi","Serebro",100427,1020112,1132085,264,491,
,,"我们的歌","王力宏",100245,1206116,1338320,347,750,
,,"一舞钟情","A-Lin",101842,932271,1034460,269,595,
Y,8,"YESTERDAY","Block B",100511,1402052,1555782,333,810,
,,"Bing Bing","Crayon Pop",100433,1319151,1464035,309,586,
,,"漫时光","QQ炫舞",101332,892088,989858,297,579,
,,"怎样说清此刻的心情","BY2",100203,871899,967403,373,611,
J,9,"JELLY JELLY","TWICE",100022,1463997,1624634,401,760,
,,"明天，你好","牛奶咖啡",100520,617762,685532,150,360,
L,9,"L.I.E","EXID",100273,1426388,1582941,413,696,
G,8,"工笔","Awaken-F",103325,1595414,1770515,360,792,
