首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"唐人","孙子涵",非押爆,爆气,267,62,28,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 下面数字 1 蓝条结尾,829949,25 + 0.1
,,"唐人","孙子涵",非押爆,爆气,269,63,1,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 下面数字 1 蓝条结尾,826767,25 - 0.5
,,"唐人","孙子涵",非押爆,爆气,49,18,4,A - 右下角数字 5 蓝条中间,A - 右上角数字 6 单点,826217,26 - 0.5
,,"唐人","孙子涵",非押爆,爆气,48,17,28,A - 右下角数字 5 蓝条开始,A - 左下角数字 5 蓝条结尾,825996,26 - 0.5
,,"唐人","孙子涵",非押爆,爆气,47,17,24,A - 左下角数字 4 单点,A - 左下角数字 5 蓝条中间,825775,26 - 0.5
,,"唐人","孙子涵",非押爆,爆气,269,63,4,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 右下角数字 2 绿条开始,825176,24 + 0.2
,,"唐人","孙子涵",押爆,爆气,267,63,0,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 右下角数字 2 绿条开始,831540,25 + 0.4
,,"唐人","孙子涵",押爆,爆气,48,18,0,A - 右下角数字 5 蓝条开始,A - 右上角数字 6 单点,831079,27 - 0.5
,,"唐人","孙子涵",押爆,爆气,47,17,24,A - 左下角数字 4 单点,A - 左下角数字 5 蓝条结尾,830858,27 - 0.5
,,"唐人","孙子涵",押爆,爆气,266,62,24,B - 右下角数字 3 绿条结尾,B - 下面数字 1 蓝条结尾,829949,25 + 0.1
,,"唐人","孙子涵",押爆,爆气,267,62,25,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 下面数字 1 蓝条结尾,829949,25 + 0.1
,,"唐人","孙子涵",押爆,爆气,269,63,1,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 右下角数字 2 绿条开始,828358,25 - 0.2
,,"唐人","孙子涵",超极限,爆气,266,62,23,B - 右下角数字 3 绿条结尾,B - 下面数字 1 蓝条结尾,831540,25 + 0.4
,,"唐人","孙子涵",超极限,爆气,267,62,31,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 右下角数字 2 绿条开始,831540,25 + 0.4
,,"唐人","孙子涵",超极限,爆气,48,17,31,A - 右下角数字 5 蓝条开始,A - 右上角数字 6 单点,831079,27 - 0.5
,,"唐人","孙子涵",超极限,爆气,47,17,23,A - 左下角数字 4 单点,A - 左下角数字 5 蓝条结尾,830858,27 - 0.5
,,"唐人","孙子涵",超极限,爆气,267,62,25,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 下面数字 1 蓝条结尾,829949,25 + 0.1
,,"唐人","孙子涵",超极限,爆气,269,63,3,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 右下角数字 2 绿条中间,829949,25 + 0.1
,,"唐人","孙子涵",超极限,爆气,269,63,1,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 右下角数字 2 绿条开始,828358,25 - 0.2
,,"唐人","孙子涵",超极限,爆气,265,62,19,B - 右下角数字 3 绿条中间,B - 下面数字 1 蓝条中间,827947,26 - 0.3
,,"唐人","孙子涵",超极限,爆气,271,63,5,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 右下角数字 2 绿条中间,826767,25 - 0.5
,,"唐人","孙子涵",超极限,爆气,51,18,11,A - 右下角数字 5 蓝条中间,A - 右下角数字 8 单点、右下角数字 9 单点（cool）,826668,28 - 0.5
,,"Faded","Alan Walker",非押爆,爆气,220,48,4,B - 左上角数字 3 单点,B - 右上角数字 6 单点,463306,15 - 0.5
,,"Faded","Alan Walker",非押爆,爆气,204,45,4,B - 左下角数字 1 单点,B - 左下角数字 3 单点,463304,15 - 0.5
,,"Faded","Alan Walker",非押爆,爆气,226,49,16,B - 左上角数字 1 单点,B - 右边数字 2 绿条中间,461715,14 + 0.2
,,"Faded","Alan Walker",非押爆,爆气,105,23,0,A - 右下角数字 1 单点,A - 左上角数字 7 绿条中间,460651,14 + 0.0
,,"Faded","Alan Walker",非押爆,爆气,226,49,12,B - 左上角数字 1 单点,B - 右边数字 2 绿条中间,460124,14 - 0.1
,,"Faded","Alan Walker",非押爆,爆气,103,22,0,A - 左下角数字 4 单点,A - 下面数字 6 绿条中间,460122,14 - 0.1
,,"Faded","Alan Walker",非押爆,爆气,184,42,12,B - 左下角数字 2 绿条中间,B - 左下角数字 1 单点,460120,14 - 0.1
