首字母,等级,歌名,歌手,类型,技能,状态,先后,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"唐人","孙子涵",非押爆,爆气,分开,一爆,49,18,4,A - 右下角数字 5 蓝条中间,A - 右上角数字 6 单点,959340,51 - 0.4
,,"唐人","孙子涵",非押爆,爆气,分开,二爆,267,62,28,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 下面数字 1 蓝条结尾,959340,51 - 0.4
,,"唐人","孙子涵",非押爆,爆气,分开,一爆,48,17,28,A - 右下角数字 5 蓝条开始,A - 左下角数字 5 蓝条结尾,959119,51 - 0.4
,,"唐人","孙子涵",非押爆,爆气,分开,二爆,267,62,28,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 下面数字 1 蓝条结尾,959119,51 - 0.4
,,"唐人","孙子涵",非押爆,爆气,分开,一爆,47,17,24,A - 左下角数字 4 单点,A - 左下角数字 5 蓝条中间,958898,51 - 0.4
,,"唐人","孙子涵",非押爆,爆气,分开,二爆,267,62,28,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 下面数字 1 蓝条结尾,958898,51 - 0.4
,,"唐人","孙子涵",非押爆,爆气,分开,一爆,49,18,4,A - 右下角数字 5 蓝条中间,A - 右上角数字 6 单点,956158,50 + 0.0
,,"唐人","孙子涵",非押爆,爆气,分开,二爆,269,63,1,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 下面数字 1 蓝条结尾,956158,50 + 0.0
,,"唐人","孙子涵",非押爆,爆气,分开,一爆,48,17,28,A - 右下角数字 5 蓝条开始,A - 左下角数字 5 蓝条结尾,955937,50 + 0.0
,,"唐人","孙子涵",非押爆,爆气,分开,二爆,269,63,1,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 下面数字 1 蓝条结尾,955937,50 + 0.0
,,"唐人","孙子涵",非押爆,爆气,分开,一爆,47,17,24,A - 左下角数字 4 单点,A - 左下角数字 5 蓝条中间,955716,50 + 0.0
,,"唐人","孙子涵",非押爆,爆气,分开,二爆,269,63,1,B - 下面数字 1 绿条中间、左下角数字 1 绿条中间,B - 下面数字 1 蓝条结尾,955716,50 + 0.0
