首字母,等级,歌名,歌手,bgm路径,无技能裸分,极限技能裸分,半cb,全cb,分数变化
,,"唐人","孙子涵",100111,696826,773246,131,354,
,,"Faded","Alan Walker",100008,386399,428695,141,290,
,,"Animals","Maroon 5",100085,299910,332779,99,187,
,,"帝都","萌萌哒天团",100055,434031,481599,107,260,
,,"动物森林","范玮琪",100004,522951,580310,113,271,
,,"小酒窝","林俊杰",100068,626912,695728,152,283,
,,"猫步轻俏","AOA",100194,354172,392982,117,216,
,,"我们不该这样的","张赫宣",100013,531349,589624,131,286,
W,7,"Wonderland","gugudan",100226,732173,812546,164,317,
A,6,"Always Online","林俊杰",100040,726050,805640,187,393,
W,8,"What Makes You Beautiful","One Direction",100099,926120,1027841,140,367,
,,"背对背拥抱","林俊杰",100063,702065,779043,225,391,
,,"逆战","张杰",100152,655265,727118,197,355,
,,"李白","李荣浩",100014,855634,949626,193,337,
,,"Boom Clap","Charli XCX",100367,526669,584465,88,246,
W,7,"王妃","萧敬腾",100102,882895,979780,156,409,
G,7,"Good Time","Owl City",100088,839436,931626,190,337,
W,6,"我们都一样","张杰",100059,789698,876354,216,370,
T,6,"Trouble Is a Friend","Lenka",100130,816140,905688,156,386,
H,8,"Here With You","Asher Book",100108,939705,1042894,167,389,
,,"一笑倾城","汪苏泷",100076,640640,710895,154,349,
M,6,"Maps","Maroon 5",100052,793052,880089,161,366,
G,6,"给我一个理由忘记","A-Lin",100044,735800,816381,173,481,
W,6,"微微一笑很倾城","杨洋",100018,866606,961685,199,423,
A,8,"Apple Is A","T-ara",100210,746590,828547,171,329,
J,6,"Jar Of Love","曲婉婷",100057,854126,947874,146,384,
B,9,"Baby Boy","王心凌",100026,1313065,1457186,238,588,
B,7,"Bad Girl","吴亦凡",100106,1153295,1279858,268,540,
J,10,"禁绝边境线","Walküre",100003,1628601,1807290,359,789,
Q,8,"七年的爱","金贤政",100172,812565,901707,134,406,
,,"CALL ME BABY","EXO",100196,385879,428206,83,193,
J,10,"JELLY JELLY","TWICE",100022,1503619,1668684,352,658,
B,8,"Bright Spring","M2U",100469,930852,1033060,198,381,
F,10,"Firefly","Abba Teens",100216,1333345,1479820,269,514,
B,6,"Bad Romance","Lady Gaga",100244,821002,911059,211,426,
,,"棉花糖","至上励合",100441,409461,454379,75,204,
R,7,"Rage Your Dream","M.O.V.E",100202,846690,939599,249,399,
X,7,"幸福的节拍","杨丞琳",100208,818155,907983,158,341,
,,"不完美小孩","TFBOYS",100155,736970,817857,128,323,
Z,7,"怎样说清此刻的心情","BY2",100203,716404,795024,188,330,
D,6,"等我先说","夏天Alex",100510,862940,957670,198,380,
Y,10,"邮递马车","Hermann Necke",100168,1384669,1536763,240,528,
R,6,"Right Now","rihanna",100200,881933,978656,241,449,
Z,6,"直到世界终结 ","WANDS",100522,592800,657899,69,238,
L,7,"Landing","温岚",100224,865566,960657,143,306,
T,6,"Try Everything","Shakira",100302,797342,884867,160,349,
,,"Blue Skies","Lenka",100389,569296,631646,126,377,
B,6,"Booty Music","Git Fresh",100124,772174,856877,191,382,
B,7,"Bo Peep Bo Peep","T-ara",100187,907452,1006998,203,447,
L,7,"恋爱幸运曲奇","AKB48",100476,771134,855815,106,307,
P,10,"Play 我呸","蔡依林",100205,1998022,2217511,378,742,
B,7,"BONAMANA","Super Junior",100195,1040897,1155188,203,431,
N,6,"New Divide","Linkin Park",100529,770770,855369,219,349,
O,8,"偶像万万岁","TimeZ",100225,1133314,1257744,227,482,
K,10,"卡农","Pachelbel",100240,1737164,1927955,329,698,
H,8,"火花","高耀太",100171,1305278,1448570,257,572,
,,"萤火","TFBOYS",100422,644904,715682,123,282,
,,"今天你要嫁给我","陶喆/蔡依林",100596,272298,302149,80,168,
N,7,"你的声音不会消失","fumika",100513,846183,938990,211,439,
K,10,"空想神话","妖精帝国",100167,1755234,1947967,394,728,
,,"让我心动","Apink",100255,574197,637114,145,352,
B,6,"Born This Way","Lady Gaga",100445,890552,988322,163,378,
T,8,"Telephone","Lady GaGa",100415,1021644,1133796,237,450,
,,"第一次爱的人","王心凌",100517,454116,503887,124,266,
I,8,"I Want My Tears Back","NIGHT WISH",100170,1486615,1649829,333,641,
M,7,"Mimimi","Serebro",100427,921908,1023128,205,380,
X,7,"小星星","汪苏泷",100533,1055548,1171442,219,452,
J,6,"Just Dance","Lady GaGa",100236,789646,876304,164,361,
H,6,"黑暗骑士","林俊杰/五月天",100383,752895,835499,194,372,
P,7,"Poker Face","Lady Gaga",100672,818766,908723,141,284,
T,8,"太过爱你","MC梦",100569,864019,958795,194,425,
B,9,"Bubble Pop!","泫雅",100564,1290419,1432155,251,501,
L,9,"L.I.E","EXID",100273,1156220,1283160,273,495,
T,9,"to the beginning","Kalafina",100591,1430572,1587577,369,652,
G,10,"Gee","少女时代",100442,1432548,1589831,309,616,
L,6,"恋爱循环","花泽香菜",100514,707265,784881,172,318,
,,"触动心触动爱","BY2",100482,410345,455366,87,203,
W,7,"我们的歌","王力宏",100245,1443091,1601459,332,668,50
D,8,"当你","林俊杰",100357,1103180,1224358,184,429,
,,"Numb","Linkin Park",100526,453479,503170,123,280,
A,10,"曖昧スクリーム","平野绫",100175,2160444,2397661,493,920,
,,"明天，你好","牛奶咖啡",100520,471380,523132,91,202,
,,"娃娃脸","后弦",100247,770081,854615,162,333,
N,9,"你，有没有过","林俊杰",100474,1320306,1465082,289,716,
,,"剩下的盛夏","TFBOYS",100269,467298,518572,97,220,
B,8,"Bing Bing","Crayon Pop",100433,1369589,1520040,264,515,
C,10,"chAngE","miwa",100493,1858116,2062006,440,891,
C,6,"Checkmate","林俊杰/郑容和",101183,695513,771863,138,307,
W,10,"无可取代","李雪岩",100426,1842061,2044196,407,872,
L,7,"Long Kiss Good Bye","Halcali",100607,1111461,1233522,196,443,
,,"浪漫惊喜","kent王健",100481,329446,365563,74,189,
T,7,"Timber","Pitbull",100583,898469,997101,149,399,
,,"万有引力","汪苏泷",100484,231933,257368,46,138,
,,"非酋","薛明媛/朱贺",100573,563914,625750,131,310,
,,"稀罕没理由","潘玮柏",100552,253474,281267,70,137,
,,"因你而在","林俊杰",100346,566033,628133,137,276,
X,7,"炫舞国度","BOX.COM",100485,1020279,1132222,234,499,
,,"淋雨一直走","张韶涵",100519,381667,423537,97,192,
,,"左边","杨丞琳",100525,838708,930765,180,386,
L,6,"Love Story","Taylor Swift",100631,800878,888774,197,387,
S,6,"Sometimes","Kat Graham",100504,641628,712059,158,275,
H,10,"Hacking to the Gate","伊藤加奈子",100466,1774981,1969882,429,735,
X,8,"小情歌","苏打绿",100531,912704,1012916,161,390,
,,"下个，路口，见","李宇春",100680,356733,395849,99,199,
L,7,"Look What You Made Me Do","Taylor Swift",100594,978211,1085605,201,435,
W,7,"望","张碧晨/赵丽颖",100623,788307,874757,153,425,
*,10,"ペガサス幻想","MAKE-UP",100647,1467466,1628578,264,629,
D,6,"Doraradora","Fujigami Mai",100480,969319,1075700,222,436,
M,7,"没有选择","胡彦斌",100473,972465,1079274,179,375,
Y,6,"有点甜","汪苏泷 / BY2",100542,601926,667990,117,267,
D,7,"DAY BY DAY","T-ara",100633,780728,866414,178,354,
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",100592,324506,360116,63,160,
,,"桃花旗袍","BY2",100494,517088,573872,97,210,
J,6,"江南","林俊杰",100527,531570,589873,118,277,
B,9,"表白","萧亚轩",100587,1147003,1272919,179,487,
L,6,"绿光","孙燕姿",100521,692653,768691,114,295,
,,"回忆那么伤","孙子涵",100585,582517,646446,100,266,
,,"爱的就是你","刘佳",100561,429871,477054,91,184,
Y,9,"YESTERDAY","Block B",100511,1318200,1462970,219,523,
Z,7,"再遇不到你这样的人","庄心妍",100619,867672,962855,207,450,
,,"走着走着就散了","庄心妍",100547,594542,659762,143,305,20
B,6,"不醉不会","田馥甄",100636,774787,859769,206,402,
,,"无限大","孙燕姿",101088,716053,794673,198,306,
X,7,"修炼爱情","林俊杰 ",100549,913354,1013490,171,527,
,,"心率","鹿晗",100707,307190,340883,79,166,
B,8,"Baby","Justin Bieber",100664,774553,859591,190,351,
S,9,"什么什么","蔡依林",101315,1309438,1453319,204,466,
J,6,"Just Dance","王一博",100887,798356,885927,203,416,
F,7,"FIVE","Apink",100560,813059,902376,179,299,
,,"不朽之罪","双笙/玄觞",100588,306358,339944,67,183,
N,6,"你的微笑","飞儿乐团",100530,838344,930279,224,442,
,,"Trap","Henry",100919,434005,481618,109,210,
A,8,"爱投罗网","罗志祥",100648,1153581,1280249,209,488,
Q,10,"青鸟","生物股长",100605,1524432,1691705,329,734,100
C,6,"丑八怪","薛之谦",100622,670852,744411,137,370,
G,7,"歌谣","李荣浩",100541,851890,945351,184,417,
O,6,"OKAY","王嘉尔",101173,772291,857108,136,306,
S,7,"Sky","Steerner",100754,973154,1080029,138,384,
L,7,"Love So Soft","Kelly Clarkson",100595,1045980,1160747,244,504,
Y,10,"一吻天荒","胡歌",101871,1362673,1512030,272,809,
,,"狂欢夜","QQ炫舞原创",101511,691366,767230,103,326,
W,10,"Wake up!","AAA",100639,1791335,1988025,272,755,20、50
,,"凉凉","杨宗纬/张碧晨",100738,411905,457017,99,277,
K,10,"克罗地亚狂想曲","马克西姆",100809,2292732,2544667,442,800,
K,7,"KNOCK KNOCK","TWICE",100678,917085,1017808,134,345,
S,10,"SHIORI","ClariS",100544,1746914,1938735,291,723,
,,"Flower Dance","DJ OKAWARI",101007,473785,525780,99,207,
,,"一舞钟情","A-Lin",101842,555009,615888,129,286,
D,6,"带你去旅行","校长",100670,767702,852030,145,280,
W,8,"What Do You Mean?","Justin Bieber",100615,882609,979483,196,405,
H,9,"Hey Baby 你是我的","李佳薇",101728,1267032,1406177,240,515,20
W,7,"Wolves","Selena Gomez/Marshmello",101099,887289,984647,214,431,
R,8,"Rolling Star","YUI",100608,1111513,1233437,257,571,
S,10,"SWEET TALKER","TWICE",101686,1691404,1877128,330,709,
C,10,"CLEAR","坂本真綾",101359,1775020,1970016,318,677,
J,9,"Just Like Fire","P!nk",100620,1322035,1467204,211,548,
*,10,"123我爱你(困难版)","新乐尘符",102233,1730053,1919976,389,764,
Z,7,"专属味道","汪苏泷/林希儿",100566,952003,1056514,223,414,
S,7,"Synchronise","INFINITE",101312,763529,847351,168,347,
*,7,"1234喜欢你","王欣宇",102809,917826,1018599,189,391,
C,10,"Crossing Field","LiSA",100610,1610011,1786719,332,732,100
K,7,"可以了","陈奕迅",100644,810758,899793,155,326,
B,10,"Be My Baby","Wonder Girls",100643,1683656,1868581,413,656,
C,10,"Candy Pop","TWICE",101488,1359124,1508359,244,564,
I,9,"I Knew You Were Trouble","Taylor Swift",100601,1200433,1332120,379,617,
,,"再见安打","唐禹哲",100683,415519,461120,70,192,
,,"空山新雨后","音阙诗听/锦零",103363,450034,499413,101,214,
Y,6,"夜空中最亮的星","逃跑计划",100704,805194,893607,178,329,
Q,8,"期待","Girl's Day",101175,740337,821646,130,288,
,,"后会无期","徐良/汪苏泷",100674,303888,337205,95,179,
F,10,"Fight For You","潘玮柏",101375,1510808,1676561,371,756,
H,6,"Hola","Flo Rida/Maluma",101055,719537,798570,144,272,
,,"Pure","向井太一",102808,476723,529034,118,229,
W,6,"我的梦","张靓颖",100708,681772,756617,121,293,
T,8,"TOUCH MY HEART","罗志祥",102980,917982,1018726,236,432,
T,6,"淘汰","陈奕迅",100686,689845,765552,135,313,
,,"太阳雨","QQ炫舞原创",101185,244426,271248,64,118,
H,9,"好想大声说喜欢你","BAAD",100611,1229592,1364476,256,608,
B,7,"Boys","Charli XCX",101084,973674,1080594,193,397,
,,"Real Change","Masetti",102931,740285,821581,135,286,
,,"没有你的冬季","阿云嘎",103052,929734,1031813,206,387,
S,10,"Sparkling Daydream","ZAQ",100613,1678482,1862739,356,751,
,,"You Are","GOT7",101700,547872,607997,112,239,
,,"素颜","许嵩/何曼婷",100690,214578,238103,53,125,
,,"长腿叔叔","袁娅维",102402,528125,586094,106,239,
,,"全部都是你","Dragon Pig",101362,499980,554901,84,168,
G,10,"Get It On The Floor","DMX",101391,1771081,1965549,390,753,
,,"勋章","鹿晗",100703,272571,302431,86,182,
X,7,"星期天","张紫豪",103384,654212,726028,135,290,
M,6,"漫时光","QQ炫舞",101332,769522,853990,202,350,
L,6,"LOVE IT LIVE IT","YDPP",102087,732121,812509,138,301,
B,8,"白骑士","QQ炫舞原创",101330,935818,1038530,205,418,
,,"The Fire","吉克隽逸",103372,615173,682709,137,262,
G,10,"更新","Sabão",103020,1496729,1661160,245,547,
L,10,"恋のパーフェクト微分方程式","ユウノウミ",103008,1463397,1624099,314,595,
H,6,"魂不守舍","朱星杰",103356,723918,803380,154,318,
X,6,"炫舞","陈伟霆",101351,665236,738086,232,448,
D,9,"Dear Future Husband","Meghan Trainor",101745,1436526,1594339,225,538,
W,6,"我们是太阳","筷子兄弟",103404,784693,870810,184,370,
B,10,"Butter Fly","和田光司",100626,1742897,1934164,392,817,
S,7,"Sugar Rush","吴映洁",102978,890058,987775,178,373,
,,"我乐意(QQ炫舞系列主题曲)","许嵩",101338,726817,806558,163,356,
,,"Talk Dirty","Jason Derulo/2",101340,408044,452823,114,195,
,,"吸引定律","Awaken-F",102628,487682,541234,98,192,
M,10,"MY舞☆TONIGHT","Aqours",101698,2230709,2475697,419,889,
,,"Loved","Highlight",103389,701623,778637,161,311,
,,"漫过","吴映香",103470,613106,680394,134,277,
F,6,"Flamingo","米津玄師",103391,751387,833878,165,328,
V,10,"Victory(困难版)","Bond",102265,2954055,3278676,552,1032,
G,9,"工笔","Awaken-F",103325,1276782,1417062,202,456,
H,7,"好想告诉你","谷泽智文",102984,829803,920878,151,369,
,,"Monsters","Katie Sky",103460,460226,510707,107,235,
B,9,"Bright Burning Shout","T.M.Revolution",103424,1579071,1752322,378,774,
,,"ME!","Taylor Swift/Brendon Urie",103462,349934,388315,81,186,
R,9,"Rookie","Red Velvet",101722,1110928,1232885,192,475,
