字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Always Online","林俊杰",,红色,分开,189 + 440、194 + 440,A - 左下单点^^^B - 右下单点,A - 左边单点^^^B - 右下单点,348,618,62 + 0.3,440,B - 右下单点,B - 右下单点,348,618,1115534,32 + 0.3
,,"帝都","萌萌哒天团",,红色,分开,286 + 385,B - 左边单点^^^B - 右下右滑条开始,B - 左下单点、右下单点^^^B - 左下单点、右下单点,189,514,65 + 0.1,286,B - 左边单点,B - 左下单点、右下单点,189,514,992133,35 + 0.1
,,"猫步轻俏","AOA",,红色,分开,207 + 400,A - 左边单点^^^B - 左边单点,A - 右边左滑条结尾^^^B - 左边滑点、右边滑点,263,441,69 - 0.2,207,A - 左边单点,A - 右边左滑条结尾,263,441,1023159,35 - 0.1
Q,7,"七年的爱","金贤政",,红色,分开,349 + 444、351 + 444,B - 左下单点、右下单点^^^B - 左边长条中间、右边单点,B - 右边单点^^^B - 左边滑点、右边滑点,234,666,87 + 0.0,444,B - 左边长条中间、右边单点,B - 左边滑点、右边滑点,234,666,1402400,45 + 0.0
B,6,"Bad Girl","吴亦凡",,,分开,167 + 499,A - 右下滑点^^^B - 右下滑点,A - 左边单点^^^B - 左边长条结尾、右边长条结尾,301,734,64 - 0.4,499,B - 右下滑点,B - 左边长条结尾、右边长条结尾,301,734,1392895,34 - 0.2
W,6,"王妃","萧敬腾",,红色,存气,265 + 602、266 + 601、267 + 600、268 + 599,A - 右边单点^^^B - 左下单点,A - 左下单点、右下单点^^^B - 左边长条结尾、右边长条结尾,295,766,76 + 0.2,629,B - 右下右滑条开始,B - 左边长条结尾、右边长条结尾,295,766,1338757,42 - 0.3
,,"小酒窝","林俊杰",,红色,分开,123 + 348,A - 左边单点^^^B - 右边单点,A - 右边长条开始^^^B - 左边长条开始,293,538,62 - 0.4,123、348,A - 左边单点,A - 右边长条开始,293,538,1013109,31 - 0.2
,,"Boom Clap","Charli XCX",,红色,分开,338 + 394、338 + 396,B - 左下单点^^^B - 右边单点,B - 左边单点、右边单点^^^B - 左边单点,183,443,77 + 0.4,338,B - 左下单点,B - 左边单点、右边单点,183,443,1092980,40 - 0.2
,,"Jar Of Love","曲婉婷",,,分开,80 + 161,A - 右下右滑条中间^^^A - 右边长条开始,A - 左下单点、右下单点^^^A - 左边单点,303,719,69 + 0.1,159、161、164、165,A - 左下单点、右下单点,A - 左边单点、右下单点,303,719,1364455,36 - 0.3
,,"动物森林","范玮琪",,红色,分开,116 + 332,A - 右下单点^^^B - 右下滑点,A - 右下长条结尾、左下单点^^^B - 右下右滑条结尾、左边单点,180,388,51 + 0.1,116,A - 右下单点,A - 右下长条结尾、左下单点,180,388,819620,26 - 0.2
