字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,6,"Bad Girl","吴亦凡",,,分开,388 + 503,B - 左边单点^^^B - 左边单点,B - 左边长条结尾、右边白球^^^B - 左边单点、右边长条结尾,246,605,68 - 0.3,503,B - 左边单点,B - 左边单点、右边长条结尾,246,605,1428926,34 + 0.2
,,"Always Online","林俊杰",,红色,分开,140 + 169、140 + 170、140 + 171、142 + 169、142 + 170、142 + 171、142 + 169、142 + 170、142 + 171、142 + 169,A - 左边单点、右边单点^^^A - 右边连点第 1 个,A - 左边单点、右边单点^^^A - 左边连点第 1 个,239,441,51 + 0.2,140、142,A - 左边单点、右边单点,A - 左边单点、右边单点,239,441,965120,27 + 0.0
Q,7,"七年的爱","金贤政",,红色,分开,284 + 354,B - 右边连点第 1 个^^^B - 左边白球,B - 左边长条结尾、右边白球^^^B - 左边单点,185,577,68 - 0.4,354,B - 左边白球,B - 左边单点,185,577,1145736,34 + 0.0
L,6,"Landing","温岚",,红色,分开,308 + 363,B - 左边单点、右边单点^^^B - 右边滑键,B - 右边白球^^^B - 左边滑键、右边滑键,212,414,75 - 0.5,363,B - 右边滑键,B - 左边滑键、右边滑键,212,414,1238275,40 - 0.5
,,"背对背拥抱","林俊杰",,红色,分开,126 + 321,A - 左边滑键^^^B - 右边白球,A - 左边单点^^^B - 左边滑键,272,474,57 + 0.3,321,B - 右边白球,B - 左边滑键,272,474,1026814,29 + 0.0
,,"Born This Way","Lady Gaga",,红色,分开,99 + 152、99 + 153、99 + 154、99 + 155、99 + 156、100 + 152、100 + 153、100 + 154、100 + 155、100 + 156,A - 左边单点^^^A - 左边单点,A - 左边单点^^^A - 左边白球,209,481,64 + 0.4,152、153、154、155、156,A - 左边单点,A - 左边白球,209,481,1210077,33 - 0.1
,,"Try Everything","Shakira",,,分开,192 + 251,A - 左边白球^^^B - 右边白球,A - 右边白球^^^B - 左边白球、右边长条中间,233,489,57 + 0.3,192,A - 左边白球,A - 右边白球,233,489,1145195,29 - 0.3
W,6,"王妃","萧敬腾",,红色,分开,122 + 446、122 + 447、124 + 446、124 + 447、126 + 446、126 + 447,A - 右边单点^^^B - 左边单点,A - 左边单点^^^B - 右边连点第 3 个,234,553,69 + 0.1,446、447,B - 左边单点,B - 右边连点第 3 个,234,553,1256122,37 + 0.4
,,"Numb","Linkin Park",,红色,存气,155 + 369、157 + 369、166 + 358、166 + 360、168 + 356、170 + 356,A - 左边长条中间^^^B - 左边长条开始、右边单点,A - 左边单点、右边单点^^^B - 左边单点、右边长条开始,200,492,85 - 0.1,385,B - 左边单点、右边长条中间,B - 左边单点、右边长条开始,200,492,1080250,45 - 0.5
F,9,"Firefly","Abba Teens",,红色,分开,391 + 529,B - 左边单点、右边单点^^^B - 左边白球、右边单点,B - 左边白球、右边单点^^^B - 右边白球,330,584,78 - 0.5,529,B - 左边白球、右边单点,B - 右边白球,330,584,1394364,41 - 0.5
