字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,8,"Baby Boy","王心凌",,,分开,449 + 713、449 + 715、449 + 716、450 + 713、450 + 715、450 + 716、451 + 713、451 + 715、451 + 716、459 + 713,B - 一轨单点^^^B - 二轨单点、四轨单点,B - 一轨单点^^^B - 一轨单点、三轨单点,340,827,89 - 0.2,449、450、451、459、460,B - 一轨单点,B - 一轨单点,340,827,2010404,45 + 0.0
W,6,"王妃","萧敬腾",,红色,分开,403 + 635、405 + 635,B - 一轨单点、四轨单点^^^B - 一轨长条开始,B - 二轨单点、三轨单点^^^B - 二轨长条结尾,281,743,76 + 0.0,635,B - 一轨长条开始,B - 二轨长条结尾,281,743,1293912,39 + 0.4
,,"Maps","Maroon 5",,红色,分开,385 + 469,B - 一轨单点、四轨单点^^^B - 一轨长条开始,B - 一轨长条右滑^^^B - 一轨长条结尾、四轨长条结尾,245,540,54 + 0.4,385,B - 一轨单点、四轨单点,B - 一轨长条右滑,245,540,1029968,28 - 0.5
,,"Firefly","Abba Teens",,红色,分开,637 + 891、647 + 891、657 + 891,B - 三轨长条左滑、五轨长条左滑^^^B - 一轨长条开始、三轨长条开始,B - 二轨长条右滑、四轨长条右滑^^^B - 二轨单点、四轨单点,438,1021,108 - 0.2,891,B - 一轨长条开始、三轨长条开始,B - 二轨单点、四轨单点,438,1021,1784742,54 + 0.4
H,7,"火花","高耀太",,,分开,87 + 571,A - 四轨单点^^^B - 四轨单点,A - 二轨单点^^^B - 四轨单点,414,821,70 + 0.3,87,A - 四轨单点,A - 二轨单点,414,821,1785045,37 + 0.1
B,6,"Bo Peep Bo Peep","T-ara",,红色,存气,264 + 406,A - 二轨单点^^^B - 一轨长条中间,A - 二轨单点^^^B - 二轨单点,269,557,69 + 0.0,403、411、412、413,B - 一轨长条开始,B - 二轨单点,269,557,1299553,37 - 0.5
,,"小酒窝","林俊杰",,红色,存气,161 + 284、162 + 284,A - 四轨单点^^^B - 三轨单点,A - 三轨单点^^^B - 二轨单点,179,341,57 + 0.0,305,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,179,341,916623,30 - 0.3
J,8,"禁绝边境线","Walküre",,,存气,408 + 607,A - 三轨单点^^^B - 一轨长条中间、四轨单点,A - 二轨长条结尾、三轨长条结尾^^^B - 一轨单点、四轨长条结尾,443,966,71 + 0.0,359,A - 一轨长条开始,A - 二轨长条结尾、三轨长条结尾,443,966,1687034,36 - 0.3
,,"给我一个理由忘记","A-Lin",,红色,分开,467 + 676,B - 四轨长条中间^^^B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾^^^B - 一轨长条右滑、四轨长条左滑,347,953,84 + 0.4,676,B - 一轨长条中间,B - 一轨长条右滑、四轨长条左滑,347,953,1537487,47 - 0.4
L,9,"L.I.E","EXID",,红色,分开,76 + 213,A - 三轨单点^^^A - 一轨长条开始,A - 四轨单点^^^A - 一轨单点,413,696,91 - 0.5,76,A - 三轨单点,A - 四轨单点,413,696,1674589,48 - 0.4
,,"Animals","Maroon 5",,红色,分开,60 + 329,A - 一轨长条开始^^^B - 四轨长条中间,A - 四轨长条中间^^^B - 一轨单点、四轨单点,201,362,44 + 0.2,329,B - 四轨长条中间,B - 一轨单点、四轨单点,201,362,595689,24 + 0.3
,,"Rage Your Dream","M.O.V.E",,红色,分开,392 + 511、393 + 511,B - 一轨单点^^^B - 一轨长条结尾、四轨单点,B - 三四轨滑键^^^B - 二轨长条结尾、四轨长条开始,328,605,63 + 0.3,511,B - 一轨长条结尾、四轨单点,B - 二轨长条结尾、四轨长条开始,328,605,1240931,33 - 0.1
,,"Booty Music","Git Fresh",,红色,分开,239 + 413,A - 三轨单点^^^B - 一轨长条结尾、四轨单点,A - 一轨单点、四轨单点^^^B - 一轨单点、三轨单点,277,543,65 - 0.1,239,A - 三轨单点,A - 一轨单点、四轨单点,277,543,1238224,33 + 0.0
,,"当你","林俊杰",,红色,存气,193 + 438,A - 三轨长条中间^^^B - 二轨长条开始,A - 二轨长条结尾^^^B - 二轨长条结尾、三轨单点,251,762,81 - 0.5,478,B - 四轨长条左滑,B - 二轨长条结尾、三轨单点,251,762,1418619,41 - 0.4
G,10,"Gee","少女时代",20,,分开,183 + 551、186 + 551、187 + 551,A - 四轨单点^^^A - 一轨单点、四轨长条开始,A - 一轨单点、三轨单点^^^A - 一轨单点、三轨单点,630,1101,96 + 0.1,183、186、187,A - 四轨单点,A - 一轨单点、三轨单点,630,1101,2323834,53 + 0.4
X,6,"炫舞国度","BOX.COM",,红色,分开,109 + 340,A - 二一轨滑条^^^B - 三四轨滑条,A - 四轨长条左滑^^^B - 二轨长条左滑,273,533,67 + 0.4,340,B - 三四轨滑条,B - 二轨长条左滑,273,533,1232029,35 + 0.4
,,"帝都","萌萌哒天团",,红色,分开,146 + 186、151 + 188、158 + 212、159 + 212,B - 三轨长条开始^^^B - 四轨单点,B - 一轨单点、三轨单点^^^B - 三轨单点,109,362,40 - 0.1,158、159,B - 四轨单点,B - 二轨单点,109,362,644297,21 - 0.3
G,6,"Good Time","Owl City",,红色,分开,389 + 491、389 + 493,B - 一轨单点、四轨单点^^^B - 一轨长条右滑,B - 四轨长条左滑^^^B - 一轨长条结尾、三轨单点,284,592,81 - 0.2,491、493,B - 一轨长条右滑,B - 一轨长条结尾、三轨单点,284,592,1259294,44 + 0.3
,,"猫步轻俏","AOA",,红色,存气,194 + 308、195 + 307,A - 二轨单点^^^B - 三轨单点,A - 一轨单点、四轨单点^^^B - 一轨单点、四轨单点,215,385,71 - 0.3,311、317,B - 二轨单点、四轨单点,B - 二轨单点、四轨长条结尾,215,385,944282,38 + 0.2
,,"唐人","孙子涵",,红色,分开,155 + 272,B - 四轨单点^^^B - 三轨单点,B - 一轨单点^^^B - 二轨长条结尾,155,399,46 - 0.4,272,B - 三轨单点,B - 二轨长条结尾,155,399,774536,24 - 0.2
,,"Sometimes","Kat Graham",,红色,分开,215 + 437,B - 一轨单点^^^B - 三轨长条开始,B - 三轨长条右滑^^^B - 二轨单点、三轨单点,213,497,61 - 0.4,215,B - 一轨单点,B - 三轨长条右滑,213,497,961041,33 - 0.2
W,6,"What Makes You Beautiful","One Direction",,红色,分开,134 + 319,A - 二轨单点^^^B - 一轨单点,A - 一轨单点、四轨单点^^^B - 一轨单点、三轨单点,199,452,76 + 0.0,134、319,A - 二轨单点,A - 一轨单点、四轨单点,199,452,1129700,38 + 0.0
J,6,"Jar Of Love","曲婉婷",,红色,分开,201 + 455,A - 三轨单点^^^B - 三轨单点,A - 四轨单点^^^B - 四轨长条左滑,281,769,73 - 0.5,455,B - 三轨单点,B - 四轨长条左滑,281,769,1401277,40 - 0.2
,,"李白","李荣浩",,红色,分开,189 + 377,A - 一轨单点^^^B - 三轨单点,A - 一轨单点^^^B - 二轨单点、三轨单点,248,442,43 + 0.2,377,B - 三轨单点,B - 二轨单点、三轨单点,248,442,836420,23 - 0.2
,,"萤火","TFBOYS",,红色,分开,148 + 424,A - 一轨长条中间^^^B - 四轨长条开始,A - 一轨单点、三轨单点^^^B - 二轨单点、三轨单点,265,569,74 - 0.3,148,A - 一轨长条中间,A - 一轨单点、三轨单点,265,569,1162885,44 - 0.4
,,"Just Dance","Lady GaGa",,,分开,435 + 569、444 + 569,B - 四轨长条左滑^^^B - 一轨单点,B - 三轨长条左滑^^^B - 二轨长条开始、三轨长条结尾,288,644,56 - 0.5,435、444,B - 四轨长条左滑,B - 三轨长条左滑,288,644,1115783,29 - 0.3
,,"左边","杨丞琳",,红色,分开,190 + 455、190 + 461、190 + 478、190 + 479、191 + 455、191 + 461、191 + 478、191 + 479、191 + 455、191 + 461,A - 三轨单点^^^B - 一轨单点,A - 二轨单点^^^B - 三轨单点,292,583,70 + 0.3,455、461、478、479,B - 一轨单点,B - 三轨单点,292,583,1154313,36 - 0.4
,,"Boom Clap","Charli XCX",,红色,分开,139 + 238、140 + 238,B - 二轨单点^^^B - 二轨单点,B - 一轨单点^^^B - 二轨单点、四轨长条结尾,131,343,56 - 0.5,238,B - 二轨单点,B - 二轨单点、四轨长条结尾,131,343,753148,29 - 0.5
A,7,"Apple Is A","T-ara",,红色,分开,153 + 333、153 + 334、154 + 333、154 + 334,A - 二轨单点^^^B - 四轨单点,A - 二轨单点、四轨长条结尾^^^B - 二轨单点,235,452,71 - 0.2,333、334,B - 四轨单点,B - 二轨单点,235,452,1027623,37 + 0.2
W,6,"Wonderland","gugudan",,红色,分开,240 + 351、240 + 357,B - 三轨单点^^^B - 三轨单点,B - 二一轨滑键、三四轨滑键^^^B - 二一轨滑键、四轨长条左滑,238,503,73 + 0.4,240,B - 三轨单点,B - 二一轨滑键、三四轨滑键,238,503,1125541,37 - 0.1
X,6,"幸福的节拍","杨丞琳",,红色,分开,413 + 467,B - 四轨长条中间^^^B - 一轨单点,B - 二轨长条结尾、三四轨滑键^^^B - 三轨单点,246,550,59 + 0.3,467,B - 一轨单点,B - 三轨单点,246,550,1110148,30 - 0.3
,,"爱的就是你","刘佳",,红色,分开,174 + 217、177 + 217、178 + 217、179 + 217、180 + 217、181 + 217、182 + 217,B - 四轨单点^^^B - 一轨单点,B - 一轨单点^^^B - 二轨长条开始,160,342,57 + 0.3,174、177、178、179、180、181、182,B - 四轨单点,B - 一轨单点,160,342,916695,30 + 0.0
X,6,"修炼爱情","林俊杰 ",,,分开,547 + 825,B - 一轨长条开始、四轨长条开始^^^B - 三轨单点,B - 三轨单点^^^B - 一轨长条结尾、四轨长条结尾,264,925,84 - 0.5,825,B - 三轨单点,B - 一轨长条结尾、四轨长条结尾,264,925,1599555,42 - 0.1
,,"第一次爱的人","王心凌",,红色,存气,151 + 275、152 + 274,A - 三四轨滑键^^^B - 三轨单点,A - 一轨长条结尾、四轨长条结尾^^^B - 二轨单点、四轨单点,203,458,53 + 0.1,276,B - 二轨长条开始、三轨长条开始,B - 一轨单点、三轨单点,203,458,758597,27 + 0.3
,,"我们都一样","张杰",,,分开,420 + 478,B - 一轨长条开始^^^B - 二轨单点,B - 三轨长条结尾^^^B - 三轨长条中间,327,530,47 - 0.3,420,B - 一轨长条开始,B - 三轨长条结尾,327,530,936154,24 + 0.1
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,分开,120 + 149、120 + 150、120 + 151、120 + 152、121 + 149、121 + 150、121 + 151、121 + 152、122 + 149、122 + 150,B - 四轨单点^^^B - 二轨单点,B - 三轨单点^^^B - 一轨单点,74,171,31 + 0.0,120、121、122、123、124、149、150、151、152,B - 四轨单点,B - 三轨单点,74,171,436396,16 - 0.5
,,"棉花糖","至上励合",,红色,分开,172 + 265、174 + 265,B - 一轨长条结尾、三轨单点^^^B - 一轨长条开始,B - 一轨单点、四轨长条结尾^^^B - 四轨单点,154,386,68 - 0.3,172、174,B - 一轨长条结尾、三轨单点,B - 一轨单点、四轨长条结尾,154,386,824842,34 + 0.0
P,10,"Play 我呸","蔡依林",50,,分开,637 + 735、567 + 638、567 + 639,B - 二轨单点^^^B - 二轨长条中间,B - 二轨长条中间、四轨长条左滑^^^B - 三轨单点,570,1130,97 - 0.5,717、723,B - 一轨长条中间、四轨单点,B - 二轨长条中间、四轨长条结尾,570,1130,2402599,52 - 0.4
,,"等我先说","夏天Alex",,红色,分开,187 + 260,A - 二轨长条左滑^^^A - 二轨单点,A - 二轨单点^^^A - 二轨长条中间、四轨单点,346,661,61 - 0.4,260,A - 二轨单点,A - 二轨长条中间、四轨单点,346,661,1156308,31 + 0.1
,,"直到世界终结 ","WANDS",,红色,分开,106 + 186,B - 四轨长条开始^^^B - 一轨单点,B - 一轨单点、三轨长条结尾^^^B - 二轨长条结尾、四轨单点,104,372,63 - 0.1,186,B - 一轨单点,B - 二轨长条结尾、四轨单点,104,372,849541,33 - 0.4
B,6,"BONAMANA","Super Junior",,红色,分开,398 + 549,B - 一二轨滑条^^^B - 一轨长条开始,B - 二轨单点、四轨单点^^^B - 二轨单点、四轨单点,244,621,76 - 0.2,398,B - 一二轨滑条,B - 二轨单点、四轨单点,244,621,1392679,39 - 0.2
B,6,"Bright Spring","M2U",,红色,分开,322 + 389,B - 二轨单点^^^B - 一轨单点,B - 二轨单点^^^B - 三四轨滑键,252,578,64 - 0.3,322,B - 二轨单点,B - 二轨单点,252,578,1210584,34 + 0.0
M,6,"没有选择","胡彦斌",,,分开,99 + 376、253 + 382,A - 三轨单点^^^B - 三轨长条开始,A - 二轨单点^^^B - 二轨单点、四轨长条结尾,267,525,57 - 0.5,376,B - 三轨长条开始,B - 二轨单点、四轨长条结尾,267,525,1228643,29 - 0.5
,,"CALL ME BABY","EXO",,红色,分开,189 + 316,B - 二轨单点、三轨单点^^^B - 三轨单点,B - 二轨长条结尾、三轨长条开始^^^B - 二轨单点、三轨长条结尾,163,400,60 - 0.5,316,B - 三轨单点,B - 二轨单点、三轨长条结尾,163,400,837251,30 + 0.3
B,6,"背对背拥抱","林俊杰",100,红色,分开,360 + 625,A - 二轨单点、四轨单点^^^B - 二轨单点、四轨单点,A - 一轨单点^^^B - 一轨长条结尾、三轨长条结尾,457,803,77 + 0.4,360,A - 二轨单点、四轨单点,A - 一轨单点,457,803,1317556,40 + 0.2
W,6,"What Do You Mean?","Justin Bieber",,红色,分开,331 + 406、331 + 408、331 + 414、344 + 414,B - 一轨长条开始、三轨单点^^^B - 二轨长条结尾、四轨单点,B - 二轨长条开始、四轨单点^^^B - 二轨单点,228,606,69 - 0.4,331、344、357,B - 一轨长条开始、三轨单点,B - 二轨长条开始、四轨单点,228,606,1236387,35 - 0.2
,,"丑八怪","薛之谦",,红色,分开,146 + 550,A - 二轨单点^^^B - 三四轨滑条,A - 三轨长条左滑^^^B - 一轨长条中间、四轨长条中间,264,661,88 - 0.1,146,A - 二轨单点,A - 三轨长条左滑,264,661,1391862,45 + 0.4
