字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Faded","Alan Walker",,红色,分开,100 + 190、101 + 190,A - 右上角数字 1 单点^^^B - 右下角数字 3 单点,A - 右上角数字 4 单点^^^B - 左上角数字 3 单点,141,290,30 - 0.4,190,B - 右下角数字 3 单点,B - 左上角数字 3 单点,141,290,465424,15 - 0.1
,,"我们不该这样的","张赫宣",,红色,分开,90 + 246、90 + 248、90 + 249、90 + 250、90 + 251,A - 左上角数字 5 单点^^^B - 左下角数字 4 单点,A - 左边数字 12 单点^^^B - 右下角数字 7 单点、左下角数字 7 单点,131,286,50 - 0.4,246、248、249、250、251,B - 左下角数字 4 单点,B - 右下角数字 7 单点、左下角数字 7 单点,131,286,664478,25 + 0.1
,,"Animals","Maroon 5",,红色,分开,132 + 164,B - 左上角数字 1 单点^^^B - 左上角数字 6 单点,B - 左下角数字 3 单点^^^B - 右边数字 7 绿条中间,99,187,26 - 0.4,164,B - 左上角数字 6 单点,B - 右边数字 7 绿条中间,99,187,372042,14 - 0.4
,,"动物森林","范玮琪",,红色,分开,157 + 218、157 + 219,B - 左下角数字 8 单点^^^B - 右上角数字 8 单点,B - 左上角数字 9 绿条开始^^^B - 左边数字 1 单点,113,271,44 + 0.3,218、219,B - 右上角数字 8 单点,B - 左边数字 1 单点,113,271,660324,26 - 0.1
,,"小酒窝","林俊杰",,红色,分开,79 + 202、79 + 203,A - 左边数字 6 蓝条开始^^^B - 右下角数字 5 单点,A - 左下角数字 7 单点^^^B - 左下角数字 6 蓝条结尾,152,283,54 - 0.2,202、203,B - 右下角数字 5 单点,B - 左下角数字 6 蓝条结尾,152,283,769589,27 - 0.1
G,7,"Good Time","Owl City",,红色,分开,143 + 279、143 + 280、143 + 281、143 + 282、144 + 279、144 + 280、144 + 281、144 + 282,A - 左上角数字 4 单点^^^B - 右下角数字 3 蓝条开始,A - 下面数字 3 蓝条结尾^^^B - 左下角数字 5 蓝条中间,190,337,68 - 0.5,143、144,A - 左上角数字 4 单点,A - 下面数字 3 蓝条结尾,190,337,1035684,37 + 0.0
A,6,"Always Online","林俊杰",,红色,分开,44 + 116,A - 右上角数字 6 单点^^^A - 左上角数字 6 单点,A - 左上角数字 1 单点^^^A - 左下角数字 3 单点,187,393,55 - 0.5,44,A - 右上角数字 6 单点,A - 左上角数字 1 单点,187,393,872131,29 + 0.0
,,"背对背拥抱","林俊杰",,红色,分开,158 + 285、158 + 286、158 + 287、158 + 288、158 + 289、158 + 290、158 + 291,A - 左下角数字 1 单点^^^B - 左上角数字 6 蓝条开始,A - 左上角数字 8 绿条开始^^^B - 左边数字 5 蓝条中间,225,391,59 + 0.0,285、286、287、288、289、290、291,B - 左上角数字 6 蓝条开始,B - 左边数字 5 蓝条中间,225,391,867545,31 + 0.2
,,"帝都","萌萌哒天团",,红色,分开,196 + 219,B - 右上角数字 4 单点^^^B - 右下角数字 1 单点,B - 左上角数字 8 单点^^^B - 上面数字 11 绿条结尾,107,260,31 - 0.1,196,B - 右上角数字 4 单点,B - 左上角数字 8 单点,107,260,518893,16 + 0.0
M,6,"Maps","Maroon 5",,红色,分开,249 + 302、249 + 303、249 + 304、249 + 305,B - 左下角数字 5 单点^^^B - 左上角数字 5 单点,B - 左上角数字 12 单点^^^B - 左上角数字 8 蓝条中间,161,366,55 + 0.0,249,B - 左下角数字 5 单点,B - 左上角数字 12 单点,161,366,942622,28 + 0.2
