字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,6,"Bad Girl","吴亦凡",,,503,B - 左边单点,B - 左边单点、右边长条结尾,246,605,1428926,34 + 0.2
,,"Always Online","林俊杰",,红色,140、142,A - 左边单点、右边单点,A - 左边单点、右边单点,239,441,965120,27 + 0.0
Q,7,"七年的爱","金贤政",,红色,354,B - 左边白球,B - 左边单点、右边单点（cool）,185,577,1145856,35 + 0.0
L,6,"Landing","温岚",,红色,363,B - 右边滑键,B - 左边滑键、右边滑键,212,414,1238275,40 - 0.5
,,"背对背拥抱","林俊杰",,红色,321,B - 右边白球,B - 左边滑键,272,474,1026814,29 + 0.0
,,"Born This Way","Lady Gaga",,红色,154、154、155、155,A - 右边连点第 1 个（cool）、右边连点第 2 个,A - 右边连点第 2 个、左边连点第 1 个（cool）,209,481,1210317,35 - 0.1
,,"Try Everything","Shakira",,,192,A - 左边白球,A - 右边白球,233,489,1145195,29 - 0.3
W,6,"王妃","萧敬腾",,红色,446、447,B - 左边单点,B - 右边连点第 3 个,234,553,1256122,37 + 0.4
,,"Numb","Linkin Park",,红色,385,B - 左边单点、右边长条中间,B - 左边单点、右边长条开始,200,492,1081841,45 - 0.2
F,9,"Firefly","Abba Teens",,红色,529,B - 左边白球、右边单点,B - 右边白球,330,584,1394364,41 - 0.5
L,6,"Look What You Made Me Do","Taylor Swift",,红色,361,B - 左边滑键,B - 左边连点第 3 个,153,402,1208451,34 - 0.5
R,6,"Right Now","rihanna",,红色,139、139,A - 右边单点（cool）、左边单点,A - 右边白球,445,858,1502621,41 + 0.0
,,"小酒窝","林俊杰",,红色,136、140,A - 右边滑键,A - 右边白球,166,311,911365,29 + 0.0
B,6,"Baby","Justin Bieber",,红色,142、214、361、433,A - 右边长条结尾,A - 左边单点,270,523,1210265,34 - 0.3
,,"OKAY","王嘉尔",,红色,405,B - 右边单点,B - 左边连点第 3 个,202,438,890825,28 + 0.0
,,"Rage Your Dream","M.O.V.E",,,272、273、274,A - 左边单点,A - 左边长条结尾、右边单点,339,645,1409804,34 + 0.0
B,8,"Baby Boy","王心凌",,,444、445,B - 左边单点,B - 右边白球,330,789,2084779,44 - 0.4
G,9,"Gee","少女时代",,,133,A - 左边长条中间,A - 右边连点第 2 个,492,946,1756463,31 + 0.0
J,6,"Jar Of Love","曲婉婷",,,306,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,194,564,1441498,37 + 0.2
,,"一舞钟情","A-Lin",,红色,295,B - 左边长条结尾,B - 右边单点,191,429,1044053,34 + 0.4
,,"李白","李荣浩",,红色,375,B - 右边连点第 1 个,B - 右边连点第 3 个,229,435,1250873,34 - 0.2
,,"萤火","TFBOYS",,红色,213,B - 右边滑键,B - 右边单点,133,314,941798,29 - 0.1
T,6,"Telephone","Lady GaGa",,,167,A - 左边长条开始、右边长条结尾,A - 右边白球,280,537,1368949,33 + 0.1
,,"左边","杨丞琳",,红色,367、368,B - 右边长条结尾,B - 右边白球,214,421,1141574,33 + 0.3
C,9,"chAngE","miwa",,,53,A - 右边白球,A - 左边白球,412,864,2191474,40 + 0.0
,,"第一次爱的人","王心凌",,红色,87,A - 右边长条中间,A - 右边单点,249,500,923163,32 + 0.1
,,"我们不该这样的","张赫宣",,红色,260,B - 左边白球、右边长条中间,B - 右边白球,112,301,945119,36 - 0.3
,,"稀罕没理由","潘玮柏",,红色,116、117,B - 右边单点,B - 左边白球,115,202,536470,25 - 0.5
,,"恋爱循环","花泽香菜",,红色,30、30,A - 左边单点（cool）、右边白球,A - 右边滑键,127,262,965373,36 + 0.0
,,"帝都","萌萌哒天团",,红色,151,B - 左边白球,B - 左边白球,112,325,909193,32 - 0.5
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,145、149,B - 左边白球,B - 左边白球,77,207,606657,25 - 0.5
,,"Animals","Maroon 5",,红色,274、275,B - 左边白球,B - 右边白球,180,324,745900,29 + 0.3
,,"猫步轻俏","AOA",,红色,149,B - 左边单点,B - 左边单点、右边单点,134,232,665132,24 - 0.2
,,"Faded","Alan Walker",,红色,314,B - 左边长条开始,B - 左边长条结尾、右边单点,203,475,857466,31 + 0.1
B,6,"BONAMANA","Super Junior",,红色,308、308,B - 左边连点第 2 个（cool）、左边连点第 3 个,B - 右边白球,146,378,1346426,37 + 0.0
,,"非酋","薛明媛/朱贺",,红色,222,B - 右边白球,B - 右边连点第 1 个、右边连点第 2 个（cool）,154,344,968176,34 + 0.0
H,8,"火花","高耀太",,,802,B - 左边白球、右边白球,B - 左边滑键、右边滑键,405,896,2104741,48 + 0.3
