字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,8,"Baby Boy","王心凌",,,449、450、451、459、460,B - 一轨单点,B - 一轨单点,340,827,2010404,45 + 0.0
W,6,"王妃","萧敬腾",,红色,635,B - 一轨长条开始,B - 二轨长条结尾,281,743,1293912,39 + 0.4
,,"Maps","Maroon 5",,红色,385,B - 一轨单点、四轨单点,B - 一轨长条右滑,245,540,1029968,28 - 0.5
,,"Firefly","Abba Teens",,红色,891,B - 一轨长条开始、三轨长条开始,B - 二轨单点、四轨单点,438,1021,1784742,54 + 0.4
H,7,"火花","高耀太",,,87,A - 四轨单点,A - 二轨单点,414,821,1785045,37 + 0.1
B,6,"Bo Peep Bo Peep","T-ara",,红色,411、411、412、412,B - 一轨单点（cool）、三轨单点,B - 一轨长条结尾、三轨单点、三轨单点（cool）,269,557,1299793,39 - 0.5
,,"小酒窝","林俊杰",,红色,305,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,179,341,916623,30 - 0.3
J,8,"禁绝边境线","Walküre",,,357,A - 二轨长条结尾、三轨单点,A - 二轨长条中间、三轨长条中间,443,966,1687208,36 - 0.2
,,"给我一个理由忘记","A-Lin",,红色,676,B - 一轨长条中间,B - 一轨长条右滑、四轨长条左滑,347,953,1539078,47 - 0.1
L,9,"L.I.E","EXID",,红色,76、76,A - 四轨单点（cool）、三轨单点,A - 四轨单点,413,696,1674704,49 - 0.4
,,"Animals","Maroon 5",,红色,329,B - 四轨长条中间,B - 一轨单点、四轨单点,201,362,597280,25 - 0.4
,,"Rage Your Dream","M.O.V.E",,红色,511,B - 一轨长条结尾、四轨单点,B - 二轨长条结尾、四轨长条开始,328,605,1242522,33 + 0.2
,,"Booty Music","Git Fresh",,红色,239,A - 三轨单点,A - 一轨单点、四轨单点,277,543,1238224,33 + 0.0
,,"当你","林俊杰",,红色,478,B - 四轨长条左滑,B - 二轨长条结尾、三轨单点,251,762,1420210,41 - 0.1
G,10,"Gee","少女时代",20,,183、186、187,A - 四轨单点,A - 一轨单点、三轨单点,630,1101,2323834,53 + 0.4
X,6,"炫舞国度","BOX.COM",,红色,340,B - 三四轨滑条,B - 二轨长条左滑,273,533,1232029,35 + 0.4
,,"帝都","萌萌哒天团",,红色,158、159,B - 四轨单点,B - 二轨单点,109,362,644297,21 - 0.3
G,6,"Good Time","Owl City",,红色,491,B - 一轨长条右滑,B - 一轨长条结尾、三轨单点,284,592,1260885,45 - 0.4
,,"猫步轻俏","AOA",,红色,311、317,B - 二轨单点、四轨单点,B - 二轨单点、四轨长条结尾,215,385,944282,38 + 0.2
,,"唐人","孙子涵",,红色,272,B - 三轨单点,B - 二轨长条结尾,155,399,774536,24 - 0.2
,,"Sometimes","Kat Graham",,红色,215,B - 一轨单点,B - 三轨长条右滑,213,497,961041,33 - 0.2
W,6,"What Makes You Beautiful","One Direction",,红色,134、319,A - 二轨单点,A - 一轨单点、四轨单点,199,452,1129700,38 + 0.0
J,6,"Jar Of Love","曲婉婷",,红色,455,B - 三轨单点,B - 四轨长条左滑,281,769,1401277,40 - 0.2
,,"李白","李荣浩",,红色,377,B - 三轨单点,B - 二轨单点、三轨单点,248,442,836420,23 - 0.2
,,"萤火","TFBOYS",,红色,148,A - 一轨长条中间,A - 一轨单点、三轨单点,265,569,1164476,44 - 0.1
,,"Just Dance","Lady GaGa",,,435、444,B - 四轨长条左滑,B - 三轨长条左滑,288,644,1116302,29 + 0.0
,,"左边","杨丞琳",,红色,478、479、479,B - 四轨单点,B - 三轨长条结尾、一轨单点（cool）,292,583,1154433,37 - 0.4
,,"Boom Clap","Charli XCX",,红色,238,B - 二轨单点,B - 二轨单点、四轨长条结尾,131,343,753148,29 - 0.5
A,7,"Apple Is A","T-ara",,红色,334、334,B - 四轨单点（cool）、三轨单点,B - 四轨单点、三轨单点（cool）,235,452,1027863,39 + 0.2
W,6,"Wonderland","gugudan",,红色,240,B - 三轨单点,B - 二一轨滑键、三四轨滑键,238,503,1125541,37 - 0.1
X,6,"幸福的节拍","杨丞琳",,红色,413,B - 四轨长条中间,B - 二轨长条结尾、三四轨滑键,246,550,1111210,30 - 0.1
,,"爱的就是你","刘佳",,红色,174、177、178、179、180、181、182,B - 四轨单点,B - 一轨单点,160,342,916695,30 + 0.0
X,6,"修炼爱情","林俊杰 ",,,825,B - 三轨单点,B - 一轨长条结尾、四轨长条结尾,264,925,1599555,42 - 0.1
,,"第一次爱的人","王心凌",,红色,276,B - 二轨长条开始、三轨长条开始,B - 一轨单点、三轨单点,203,458,758597,27 + 0.3
,,"我们都一样","张杰",,,420,B - 一轨长条开始,B - 三轨长条结尾,327,530,936154,24 + 0.1
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,120、121、122、123、124、149、150、151、152,B - 四轨单点,B - 三轨单点,74,171,436396,16 - 0.5
,,"棉花糖","至上励合",,红色,172,B - 一轨长条结尾、三轨单点,B - 一轨单点、四轨长条结尾、二轨单点（cool）,154,386,826553,35 + 0.3
P,10,"Play 我呸","蔡依林",50,,717、723,B - 一轨长条中间、四轨单点,B - 二轨长条中间、四轨长条结尾,570,1130,2403118,52 - 0.1
,,"等我先说","夏天Alex",,红色,260,A - 二轨单点,A - 二轨长条中间、四轨单点,346,661,1156308,31 + 0.1
,,"直到世界终结 ","WANDS",,红色,186,B - 一轨单点,B - 二轨长条结尾、四轨单点,104,372,849541,33 - 0.4
