字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Faded","Alan Walker",,红色,190,B - 右下角数字 3 单点,B - 左上角数字 3 单点,141,290,465424,15 - 0.1
,,"我们不该这样的","张赫宣",,红色,248、248、248、249、249,B - 中间数字 5 单点（cool）、下面数字 6 单点,B - 中间数字 8 单点、中间数字 8 单点,131,286,664598,26 + 0.1
,,"Animals","Maroon 5",,红色,164,B - 左上角数字 6 单点,B - 右边数字 7 绿条中间,99,187,372042,14 - 0.4
,,"动物森林","范玮琪",,红色,218、219,B - 右上角数字 8 单点,B - 左边数字 1 单点,113,271,660324,26 - 0.1
,,"小酒窝","林俊杰",,红色,202、203,B - 右下角数字 5 单点,B - 左下角数字 6 蓝条结尾,152,283,769589,27 - 0.1
G,7,"Good Time","Owl City",,红色,143、144,A - 左上角数字 4 单点,A - 下面数字 3 蓝条结尾,190,337,1035684,37 + 0.0
A,6,"Always Online","林俊杰",,红色,44,A - 右上角数字 6 单点,A - 左上角数字 1 单点,187,393,872131,29 + 0.0
,,"背对背拥抱","林俊杰",,红色,286、289,B - 左上角数字 6 蓝条中间,B - 左边数字 5 蓝条中间,225,391,867785,33 + 0.2
,,"帝都","萌萌哒天团",,红色,196,B - 右上角数字 4 单点,B - 左上角数字 8 单点,107,260,518893,16 + 0.0
M,6,"Maps","Maroon 5",,红色,249,B - 左下角数字 5 单点,B - 左上角数字 12 单点,161,366,942622,28 + 0.2
W,8,"What Makes You Beautiful","One Direction",,红色,260,B - 左下角数字 9 绿条结尾、右边数字 1 单点,B - 右下角数字 10 单点,140,367,1145175,41 + 0.3
,,"李白","李荣浩",,红色,135、136、137、244、245、246,A - 左下角数字 1 单点,A - 右下角数字 3 单点、左下角数字 3 单点,193,337,1004146,28 + 0.0
G,6,"给我一个理由忘记","A-Lin",,红色,341,B - 右下角数字 4 绿条结尾、左下角数字 5 单点,B - 右下角数字 3 单点,173,481,863623,24 + 0.1
,,"一笑倾城","汪苏泷",,红色,101、300,A - 左边数字 9 蓝条开始,A - 右上角数字 1 单点,154,349,757326,22 + 0.0
J,6,"Jar Of Love","曲婉婷",,红色,226,B - 右上角数字 7 单点、左上角数字 7 单点,B - 右上角数字 2 单点,146,384,1021201,32 - 0.5
A,8,"Apple Is A","T-ara",,红色,195,B - 左上角数字 2 单点,B - 右下角数字 6 单点,171,329,925333,34 - 0.3
,,"猫步轻俏","AOA",,红色,191,B - 右边数字 5 绿条结尾,B - 右下角数字 10 单点,117,216,440094,16 + 0.2
,,"逆战","张杰",,红色,220,B - 左上角数字 5 蓝条开始,B - 右上角数字 12 绿条中间,197,355,801124,28 - 0.5
H,8,"Here With You","Asher Book",,红色,231,B - 右上角数字 1 单点、左上角数字 1 单点,B - 下面数字 4 单点,167,389,1129587,36 - 0.2
W,6,"微微一笑很倾城","杨洋",,,43,A - 左上角数字 1 蓝条开始,A - 右下角数字 4 单点,199,423,1004308,26 + 0.0
J,10,"JELLY JELLY","TWICE",,,284、607,A - 右下角数字 8 绿条结尾、左下角数字 1 单点、右下角数字 1 单点,A - 右下角数字 7 单点、左下角数字 7 单点,352,658,1734459,38 + 0.0
,,"不完美小孩","TFBOYS",,红色,154,B - 右边数字 5 蓝条中间,B - 右上角数字 1 蓝条中间,128,323,873517,28 - 0.3
W,6,"我们都一样","张杰",,,134、135,A - 右边数字 5 单点,A - 左上角数字 9 蓝条结尾,216,370,914781,22 + 0.2
T,6,"Trouble Is a Friend","Lenka",,红色,283,B - 左上角数字 4 单点,B - 右下角数字 6 蓝条结尾、左边数字 7 绿条开始,156,386,1002309,35 + 0.1
,,"唐人","孙子涵",,红色,266、267,B - 右下角数字 3 绿条结尾,B - 下面数字 1 蓝条结尾,131,354,831540,25 + 0.4
R,7,"Rage Your Dream","M.O.V.E",,红色,135,A - 右上角数字 8 单点、左上角数字 8 单点,A - 左下角数字 4 蓝条结尾,249,399,1008461,31 - 0.5
J,10,"禁绝边境线","Walküre",,,605、606,B - 右上角数字 6 单点,B - 右上角数字 2 蓝条结尾、左上角数字 2 蓝条结尾,359,789,1888989,47 + 0.2
Q,8,"七年的爱","金贤政",,红色,79、79,A - 中间数字 5 单点（cool）、左上角数字 6 单点,A - 右下角数字 7 单点,134,406,977767,33 + 0.0
X,7,"幸福的节拍","杨丞琳",,红色,280、280,B - 中间数字 6 单点（cool）、右下角数字 7 单点,B - 右下角数字 3 单点、右下角数字 4 单点（cool）,158,341,966907,30 + 0.0
