字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,6,"Bad Girl","吴亦凡",,,分开,389 + 501,B - 左边连点第 1 个、右边连点第 1 个^^^B - 左边单点,B - 左边长条结尾、右边白球^^^B - 左边白球,246,605,66 + 0.2,501,B - 左边单点,B - 左边白球,246,605,1428062,34 - 0.3
,,"Always Online","林俊杰",,红色,分开,142 + 351,A - 左边连点第 1 个^^^B - 左边连点第 1 个,A - 右边连点第 2 个^^^B - 左边长条结尾、右边白球,239,441,51 - 0.1,142,A - 左边连点第 1 个,A - 右边连点第 2 个,239,441,965120,27 + 0.0
Q,7,"七年的爱","金贤政",,红色,分开,285 + 354,B - 右边连点第 2 个^^^B - 左边白球,B - 左边长条结尾、右边白球^^^B - 右边单点,185,577,66 - 0.4,354,B - 左边白球,B - 右边单点,185,577,1140432,33 + 0.0
L,6,"Landing","温岚",,红色,分开,304 + 364,B - 左边单点、右边单点^^^B - 左边单点,B - 右边长条结尾^^^B - 左边滑键、右边滑键,212,414,72 - 0.5,364,B - 左边单点,B - 左边滑键、右边滑键,212,414,1232971,39 - 0.5
,,"背对背拥抱","林俊杰",,红色,分开,126 + 321、127 + 321、136 + 321、171 + 321、174 + 321,A - 左边滑键^^^B - 右边白球,A - 右边滑键^^^B - 左边单点、右边单点,272,474,55 + 0.3,321,B - 右边白球,B - 左边单点、右边单点,272,474,1021510,28 + 0.0
,,"Born This Way","Lady Gaga",,红色,分开,99 + 153、99 + 154、99 + 155、99 + 156、100 + 153、100 + 154、100 + 155、100 + 156、100 + 153、100 + 154,A - 左边单点^^^A - 右边连点第 1 个,A - 左边单点^^^A - 左边白球,209,481,62 + 0.4,153、154、155、156,A - 右边连点第 1 个,A - 左边白球,209,481,1204773,32 - 0.1
,,"Try Everything","Shakira",,,分开,99 + 413、100 + 413,A - 右边单点^^^B - 右边长条中间,A - 左边白球^^^B - 右边滑键,233,489,55 - 0.4,413,B - 右边长条中间,B - 右边滑键,233,489,1142926,27 + 0.4
W,6,"王妃","萧敬腾",,红色,分开,122 + 446、122 + 447、123 + 446、123 + 447、125 + 446、125 + 447,A - 右边单点^^^B - 左边单点,A - 右边单点^^^B - 右边连点第 2 个,234,553,67 + 0.1,446、447,B - 左边单点,B - 右边连点第 2 个,234,553,1250818,36 + 0.4
,,"Numb","Linkin Park",,红色,存气,168 + 360、169 + 359、169 + 360、170 + 359、170 + 360、170 + 358、170 + 360,A - 右边长条中间^^^B - 左边长条中间、右边白球,A - 左边单点、右边单点^^^B - 左边单点、右边长条开始,200,492,83 + 0.4,385,B - 左边单点、右边长条中间,B - 右边白球,200,492,1073355,43 + 0.2
F,9,"Firefly","Abba Teens",,红色,分开,393 + 529,B - 右边白球^^^B - 左边白球、右边单点,B - 左边白球、右边单点^^^B - 左边白球、右边白球,330,584,74 - 0.5,529,B - 左边白球、右边单点,B - 左边白球、右边白球,330,584,1383756,39 - 0.5
L,6,"Look What You Made Me Do","Taylor Swift",,红色,分开,211 + 361、211 + 362、211 + 361、211 + 362、211 + 361、211 + 362、211 + 361、211 + 362、211 + 361、211 + 362,B - 右边白球^^^B - 左边滑键,B - 左边单点、右边单点^^^B - 左边连点第 2 个,153,402,65 - 0.5,361、362,B - 左边滑键,B - 左边连点第 2 个,153,402,1203147,33 - 0.5
R,6,"Right Now","rihanna",,,分开,138 + 732,A - 右边单点^^^B - 右边单点,A - 左边白球^^^B - 左边单点、右边长条结尾,445,858,68 - 0.5,140,A - 右边单点,A - 右边白球,445,858,1499143,39 + 0.0
,,"小酒窝","林俊杰",,红色,分开,137 + 227、137 + 228、137 + 227、137 + 228、137 + 227、137 + 228、137 + 227、137 + 228、137 + 227、137 + 228,A - 右边单点^^^B - 右边单点,A - 右边白球^^^B - 左边连点第 2 个,166,311,55 + 0.0,137、140,A - 右边单点,A - 右边白球,166,311,906061,28 + 0.0
B,6,"Baby","Justin Bieber",,红色,分开,126 + 198、126 + 215、126 + 345、126 + 362、126 + 417、126 + 434、143 + 198、143 + 215、143 + 345、143 + 362,A - 左边滑键、右边单点^^^A - 左边单点、右边滑键,A - 左边单点^^^A - 右边单点,270,523,65 - 0.2,126、143、198、215、345、362、417、434,A - 左边滑键、右边单点,A - 左边单点,270,523,1203370,32 + 0.4
,,"OKAY","王嘉尔",,红色,分开,271 + 405、271 + 406、272 + 405、272 + 406、272 + 405、272 + 406、272 + 405、272 + 406、272 + 405、272 + 406,B - 右边滑键^^^B - 右边单点,B - 左边连点第 2 个^^^B - 左边连点第 2 个,202,438,54 + 0.0,405、406,B - 右边单点,B - 左边连点第 2 个,202,438,885521,27 + 0.0
,,"Rage Your Dream","M.O.V.E",,,分开,273 + 428、273 + 429、273 + 430、273 + 431、273 + 432、273 + 434、273 + 435、273 + 428、273 + 429、273 + 430,A - 右边滑键^^^B - 右边单点,A - 左边长条结尾、右边单点^^^B - 左边白球,339,645,65 - 0.5,273、274,A - 右边滑键,A - 左边长条结尾、右边单点,339,645,1408073,33 + 0.0
B,8,"Baby Boy","王心凌",,,分开,445 + 699,B - 左边白球、右边白球^^^B - 左边白球、右边白球,B - 右边白球^^^B - 左边白球,330,789,84 - 0.2,445,B - 左边白球、右边白球,B - 右边白球,330,789,2083048,43 - 0.4
G,9,"Gee","少女时代",,,分开,135 + 278,A - 左边长条结尾、右边长条开始^^^A - 右边白球,A - 右边连点第 2 个^^^A - 左边长条中间,492,946,60 - 0.3,135,A - 左边长条结尾、右边长条开始,A - 右边连点第 2 个,492,946,1754906,30 + 0.1
J,6,"Jar Of Love","曲婉婷",,,分开,308 + 380,B - 左边单点、右边长条中间^^^B - 左边单点,B - 左边连点第 2 个、右边连点第 2 个^^^B - 左边长条中间,194,564,71 - 0.2,308,B - 左边单点、右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,194,564,1439941,36 + 0.3
,,"一舞钟情","A-Lin",,红色,分开,89 + 289,A - 右边长条开始^^^B - 左边长条开始,A - 左边白球^^^B - 右边白球,191,429,64 - 0.1,289,B - 左边长条开始,B - 右边白球,191,429,1037687,33 + 0.2
,,"李白","李荣浩",,,分开,313 + 375、313 + 376,B - 左边长条中间、右边连点第 1 个^^^B - 右边连点第 1 个,B - 右边连点第 2 个^^^B - 右边连点第 2 个,229,435,65 + 0.2,375、376,B - 右边连点第 1 个,B - 右边连点第 2 个,229,435,1246026,33 - 0.2
,,"萤火","TFBOYS",,红色,分开,213 + 252,B - 右边滑键^^^B - 左边单点,B - 右边单点^^^B - 左边长条中间,133,314,57 + 0.1,213,B - 右边滑键,B - 右边单点,133,314,941798,29 - 0.1
T,6,"Telephone","Lady GaGa",,,分开,170 + 394,A - 左边长条中间^^^B - 右边长条中间,A - 右边白球^^^B - 左边白球,280,537,63 - 0.3,170,A - 左边长条中间,A - 右边白球,280,537,1366873,32 - 0.1
,,"左边","杨丞琳",,红色,存气,198 + 368、199 + 368,A - 右边单点^^^B - 左边白球,A - 右边单点^^^B - 右边白球,214,421,66 - 0.5,368,B - 左边白球,B - 右边白球,214,421,1139983,33 + 0.0
C,9,"chAngE","miwa",,,分开,48 + 216,A - 左边单点^^^A - 左边长条开始、右边单点,A - 左边滑键^^^A - 左边单点,412,864,75 - 0.2,48,A - 左边单点,A - 左边滑键,412,864,2189743,39 + 0.0
,,"第一次爱的人","王心凌",,红色,分开,89 + 295,A - 左边长条开始、右边长条结尾^^^B - 左边长条中间、右边长条中间,A - 右边单点^^^B - 右边白球,249,500,60 + 0.2,89,A - 左边长条开始、右边长条结尾,A - 右边单点,249,500,918591,31 + 0.2
,,"我们不该这样的","张赫宣",,红色,分开,188 + 256,B - 左边长条开始、右边长条开始^^^B - 右边白球,B - 左边长条开始^^^B - 右边白球,112,301,68 + 0.4,256,B - 右边白球,B - 右边白球,112,301,937693,34 + 0.3
,,"稀罕没理由","潘玮柏",,红色,分开,117 + 181、117 + 182、117 + 181、117 + 182、117 + 181、117 + 182、117 + 181、117 + 182、117 + 181、117 + 182,B - 左边单点^^^B - 右边单点,B - 左边白球^^^B - 右边白球,115,202,47 - 0.5,117、119,B - 左边单点,B - 左边白球,115,202,531166,24 - 0.5
,,"恋爱循环","花泽香菜",,红色,分开,30 + 157、30 + 159,A - 右边白球^^^B - 左边单点,A - 左边单点^^^B - 左边单点,127,262,65 + 0.0,30,A - 右边白球,A - 左边单点,127,262,960180,34 + 0.0
,,"帝都","萌萌哒天团",,红色,分开,138 + 197、138 + 198,B - 左边白球^^^B - 左边连点第 1 个,B - 左边连点第 2 个^^^B - 左边长条结尾、右边单点,112,325,58 + 0.1,138,B - 左边白球,B - 左边连点第 2 个,112,325,901236,30 + 0.0
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,分开,132 + 157,B - 左边单点^^^B - 左边滑键,B - 右边白球^^^B - 左边单点,77,207,46 - 0.5,157,B - 左边滑键,B - 左边单点,77,207,601353,24 - 0.5
,,"Animals","Maroon 5",,红色,分开,116 + 275,A - 左边长条开始、右边长条开始^^^B - 左边长条开始、右边长条开始,A - 左边长条结尾、右边长条结尾^^^B - 左边白球,180,324,55 + 0.4,275,B - 左边长条开始、右边长条开始,B - 左边白球,180,324,745900,29 + 0.3
