字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,8,"Baby Boy","王心凌",,,分开,449 + 716、450 + 716、451 + 716、452 + 716、459 + 716、460 + 716、461 + 716,B - 一轨单点^^^B - 一轨单点、四轨单点,B - 四轨单点^^^B - 二轨单点、四轨单点,340,827,87 - 0.2,449、450、451、452、459、460、461,B - 一轨单点,B - 四轨单点,340,827,2008673,44 + 0.0
W,6,"王妃","萧敬腾",,红色,分开,402 + 635,B - 二一轨滑键^^^B - 一轨长条开始,B - 三轨长条中间^^^B - 二轨长条中间,281,743,74 - 0.2,635,B - 一轨长条开始,B - 二轨长条中间,281,743,1290730,39 - 0.2
,,"Maps","Maroon 5",,,分开,155 + 471,A - 三轨长条中间^^^B - 一轨长条中间,A - 四轨单点^^^B - 一轨长条结尾、四轨长条结尾,245,540,52 - 0.1,471,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,245,540,1025988,26 + 0.0
,,"Firefly","Abba Teens",,红色,分开,661 + 895,B - 二轨单点、四轨单点^^^B - 一轨长条中间、三轨长条中间,B - 二轨长条右滑、四轨长条右滑^^^B - 二轨单点、四轨单点,438,1021,104 + 0.0,895,B - 一轨长条中间、三轨长条中间,B - 二轨单点、四轨单点,438,1021,1775196,53 - 0.4
H,7,"火花","高耀太",,,分开,88 + 571、88 + 572,A - 一轨单点^^^B - 四轨单点,A - 二轨单点^^^B - 三轨单点,414,821,68 + 0.3,88,A - 一轨单点,A - 二轨单点,414,821,1783386,36 + 0.1
B,6,"Bo Peep Bo Peep","T-ara",,红色,分开,189 + 409,A - 一轨单点^^^B - 一轨单点,A - 三轨单点^^^B - 一轨单点,269,557,68 + 0.0,409,B - 一轨单点,B - 一轨单点,269,557,1296902,36 + 0.0
,,"小酒窝","林俊杰",,红色,存气,162 + 284,A - 一轨单点^^^B - 三轨单点,A - 三轨单点^^^B - 二轨单点,179,341,56 + 0.0,290,B - 一轨单点,B - 一轨单点、四轨单点,179,341,907608,28 + 0.0
J,8,"禁绝边境线","Walküre",,,存气,384 + 631,A - 二轨单点、三轨长条结尾^^^B - 一轨单点、四轨单点,A - 二轨长条结尾、三轨长条结尾^^^B - 一轨单点、四轨长条结尾,443,966,70 - 0.4,361,A - 一轨长条中间,A - 二轨长条结尾、三轨长条结尾,443,966,1685477,35 - 0.2
,,"给我一个理由忘记","A-Lin",,红色,分开,469 + 678,B - 四轨长条中间^^^B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾^^^B - 一轨长条右滑、四轨长条左滑,347,953,83 + 0.2,678,B - 一轨长条中间,B - 一轨长条右滑、四轨长条左滑,347,953,1534305,46 + 0.0
L,9,"L.I.E","EXID",,红色,分开,77 + 215,A - 三轨单点^^^A - 一轨长条中间,A - 四轨单点^^^A - 一轨单点,413,696,89 - 0.4,77,A - 三轨单点,A - 四轨单点,413,696,1669506,47 - 0.4
,,"Animals","Maroon 5",,红色,分开,60 + 331、60 + 332,A - 一轨长条开始^^^B - 四轨长条结尾,A - 四轨长条中间^^^B - 一轨单点、四轨单点,201,362,43 + 0.0,331、332,B - 四轨长条结尾,B - 一轨单点、四轨单点,201,362,592507,24 - 0.3
,,"Rage Your Dream","M.O.V.E",,,分开,458 + 514,B - 二轨单点^^^B - 二轨单点,B - 三轨单点^^^B - 四轨长条中间,328,605,62 - 0.4,509、511,B - 一轨长条中间,B - 一轨长条右滑,328,605,1238732,32 + 0.0
,,"Booty Music","Git Fresh",,,分开,240 + 415,A - 二轨单点^^^B - 一轨单点、三轨单点,A - 一轨单点、四轨单点^^^B - 一轨单点、三轨单点,277,543,63 - 0.1,240,A - 二轨单点,A - 一轨单点、四轨单点,277,543,1235224,32 + 0.0
,,"当你","林俊杰",,红色,存气,184 + 449,A - 四轨长条中间^^^B - 三轨单点,A - 二轨长条结尾^^^B - 二轨长条结尾、三轨单点,251,762,79 + 0.2,476、478、481,B - 四轨长条中间,B - 二轨长条中间、四三轨滑键,251,762,1410133,39 + 0.0
G,10,"Gee","少女时代",20,,分开,184 + 559、187 + 559,A - 四轨单点^^^A - 二轨长条中间,A - 一轨单点、三轨单点^^^A - 二轨单点、四轨单点,630,1101,94 - 0.3,184、187,A - 四轨单点,A - 一轨单点、三轨单点,630,1101,2322103,52 + 0.4
X,6,"炫舞国度","BOX.COM",,红色,分开,109 + 340、109 + 342、109 + 344、111 + 340、111 + 342、111 + 344,A - 二一轨滑条^^^B - 三四轨滑条,A - 四轨长条中间^^^B - 二轨长条中间,273,533,64 + 0.2,340、342、344,B - 三四轨滑条,B - 二轨长条中间,273,533,1223543,34 - 0.2
,,"帝都","萌萌哒天团",,红色,分开,151 + 187,B - 二轨单点^^^B - 二轨单点,B - 四轨单点^^^B - 三轨单点,109,362,38 + 0.4,172,B - 三轨单点,B - 二轨长条中间,109,362,639522,20 - 0.2
G,6,"Good Time","Owl City",,红色,分开,387 + 493,B - 一轨单点、四轨单点^^^B - 一轨单点、三四轨滑条,B - 二轨单点^^^B - 一轨长条结尾、三轨单点,284,592,79 + 0.3,493,B - 一轨单点、三四轨滑条,B - 一轨长条结尾、三轨单点,284,592,1253990,43 + 0.3
,,"猫步轻俏","AOA",,红色,存气,203 + 304、204 + 303,A - 四轨单点^^^B - 一轨单点、四轨单点,A - 一轨单点、四轨单点^^^B - 一轨单点、四轨单点,215,385,69 + 0.2,311,B - 二轨单点、四轨单点,B - 二轨单点、四轨长条中间,215,385,935796,37 - 0.4
,,"唐人","孙子涵",,红色,分开,88 + 272,A - 二轨单点^^^B - 三轨单点,A - 三轨长条中间^^^B - 二轨长条中间,155,399,44 + 0.2,272,B - 三轨单点,B - 二轨长条中间,155,399,771354,23 + 0.2
,,"Sometimes","Kat Graham",,红色,分开,216 + 439,B - 一轨单点^^^B - 三轨长条中间,B - 三轨长条右滑^^^B - 二轨单点、三轨单点,213,497,59 - 0.3,216,B - 一轨单点,B - 三轨长条右滑,213,497,955737,32 - 0.2
W,6,"What Makes You Beautiful","One Direction",,红色,分开,135 + 320,A - 二轨单点^^^B - 一轨单点,A - 一轨单点、四轨单点^^^B - 一轨单点、三轨单点,199,452,74 + 0.0,135、320,A - 二轨单点,A - 一轨单点、四轨单点,199,452,1124396,37 + 0.0
J,6,"Jar Of Love","曲婉婷",,红色,分开,201 + 456、203 + 456,A - 三轨单点^^^B - 二轨单点,A - 二轨单点^^^B - 四轨长条左滑,281,769,71 - 0.5,456,B - 二轨单点,B - 四轨长条左滑,281,769,1395973,39 - 0.2
,,"李白","李荣浩",,,存气,236 + 370、237 + 369、238 + 368、239 + 367、240 + 366,A - 一轨单点^^^B - 三轨单点,A - 二轨单点、三轨单点^^^B - 二轨单点、三轨单点,248,442,42 - 0.2,378,B - 二轨单点,B - 二轨单点、三轨单点,248,442,831635,22 - 0.2
,,"萤火","TFBOYS",,红色,分开,150 + 426,A - 一轨长条中间^^^B - 四轨长条中间,A - 一轨单点、三轨单点^^^B - 二轨单点、三轨单点,265,569,72 + 0.2,150,A - 一轨长条中间,A - 一轨单点、三轨单点,265,569,1159703,43 + 0.0
,,"Just Dance","Lady GaGa",,,分开,404 + 484、413 + 484,B - 四轨单点^^^B - 一轨长条中间,B - 二轨单点、四轨长条结尾^^^B - 一轨单点、四轨长条结尾,288,644,53 + 0.2,429、435、438、444、447,B - 四轨长条中间,B - 二轨长条右滑,288,644,1113014,27 + 0.1
,,"左边","杨丞琳",,红色,分开,191 + 478,A - 二一轨滑条、三四轨滑条^^^B - 四轨单点,A - 三轨单点^^^B - 三轨长条中间,292,583,70 - 0.3,478,B - 四轨单点,B - 三轨长条中间,292,583,1151131,35 + 0.0
,,"Boom Clap","Charli XCX",,红色,分开,139 + 239、140 + 239、141 + 239,B - 二轨单点^^^B - 四轨单点,B - 四轨单点^^^B - 二轨单点、四轨长条结尾,131,343,54 - 0.5,239,B - 四轨单点,B - 二轨单点、四轨长条结尾,131,343,747844,28 - 0.5
A,7,"Apple Is A","T-ara",,红色,分开,142 + 333、142 + 334、142 + 336,A - 三轨单点^^^B - 四轨单点,A - 四轨单点^^^B - 一轨单点,235,452,69 + 0.3,333、334、336,B - 四轨单点,B - 一轨单点,235,452,1022319,36 + 0.2
W,6,"Wonderland","gugudan",,红色,分开,241 + 352,B - 四轨单点^^^B - 三轨单点,B - 二一轨滑键、三四轨滑键^^^B - 二一轨滑键、四轨长条左滑,238,503,71 + 0.4,241,B - 四轨单点,B - 二一轨滑键、三四轨滑键,238,503,1120237,36 - 0.1
X,6,"幸福的节拍","杨丞琳",,红色,分开,415 + 477、415 + 478,B - 一轨长条开始、四轨长条结尾^^^B - 二一轨滑键,B - 二轨长条结尾、三四轨滑键^^^B - 二轨单点,246,550,58 + 0.2,439,B - 四轨单点,B - 一轨长条右滑,246,550,1109088,30 - 0.5
,,"爱的就是你","刘佳",,红色,分开,183 + 217,B - 四轨单点^^^B - 一轨单点,B - 三轨长条开始^^^B - 四轨单点,160,342,56 + 0.3,183,B - 四轨单点,B - 三轨长条开始,160,342,912982,29 + 0.3
X,6,"修炼爱情","林俊杰 ",,,分开,547 + 826,B - 一轨长条开始、四轨长条开始^^^B - 三轨单点,B - 二轨单点、四轨单点^^^B - 一轨长条结尾、四轨长条结尾,264,925,82 - 0.5,826,B - 三轨单点,B - 一轨长条结尾、四轨长条结尾,264,925,1597824,41 - 0.1
,,"第一次爱的人","王心凌",,红色,存气,151 + 276、152 + 275、153 + 274,A - 三四轨滑键^^^B - 二轨长条开始、三轨长条开始,A - 一轨长条结尾、四轨长条结尾^^^B - 二轨单点、四轨单点,203,458,52 + 0.1,280,B - 二轨长条中间、三轨长条中间,B - 一轨单点、三轨单点,203,458,749051,26 - 0.5
,,"我们都一样","张杰",,,分开,420 + 478,B - 一轨长条开始^^^B - 二轨单点,B - 三轨长条中间^^^B - 三轨长条中间,327,530,46 - 0.5,420,B - 一轨长条开始,B - 三轨长条中间,327,530,935116,24 - 0.5
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,存气,58 + 120、58 + 121、58 + 149、58 + 120、58 + 121、58 + 149、58 + 120、58 + 121、58 + 149、58 + 120,A - 三轨单点^^^B - 四轨单点,A - 四轨单点^^^B - 二轨单点,74,171,31 + 0.0,120、121、122、123、124、125、150、151、152、153,B - 四轨单点,B - 二轨单点,74,171,431092,15 - 0.5
,,"棉花糖","至上励合",,红色,分开,168 + 267、174 + 267、175 + 267、181 + 267,B - 一轨长条开始^^^B - 一轨长条中间,B - 二轨单点^^^B - 四轨单点,154,386,66 - 0.2,168、174、175、181,B - 一轨长条开始,B - 二轨单点,154,386,819538,33 + 0.0
P,10,"Play 我呸","蔡依林",50,,分开,638 + 736,B - 一轨单点^^^B - 二轨长条中间,B - 二轨长条中间、四轨长条左滑^^^B - 三轨单点,570,1130,95 - 0.1,717,B - 一轨长条中间、四轨单点,B - 二轨长条中间、四轨长条中间,570,1130,2400523,50 + 0.4
,,"等我先说","夏天Alex",,,分开,187 + 261,A - 二轨长条左滑^^^A - 三轨单点,A - 三轨单点^^^A - 二轨长条中间、四轨单点,346,661,59 - 0.4,261,A - 三轨单点,A - 二轨长条中间、四轨单点,346,661,1152010,30 + 0.1
,,"直到世界终结 ","WANDS",,红色,分开,104 + 187,B - 二轨单点、四轨单点^^^B - 一轨单点,B - 二轨单点^^^B - 二轨长条结尾、四轨单点,104,372,61 + 0.4,187,B - 一轨单点,B - 二轨长条结尾、四轨单点,104,372,844237,32 - 0.4
B,6,"BONAMANA","Super Junior",,红色,分开,400 + 551,B - 二轨长条中间^^^B - 一轨长条中间,B - 二轨单点、四轨单点^^^B - 二轨单点、四轨单点,244,621,73 + 0.3,400,B - 二轨长条中间,B - 二轨单点、四轨单点,244,621,1384193,37 + 0.2
B,6,"Bright Spring","M2U",,红色,分开,322 + 389、322 + 390、323 + 389、323 + 390,B - 二轨单点^^^B - 一轨单点,B - 二轨单点、四轨长条结尾^^^B - 二轨长条结尾,252,578,62 - 0.3,322,B - 二轨单点,B - 二轨单点、四轨长条结尾,252,578,1205280,33 + 0.0
M,6,"没有选择","胡彦斌",,,存气,251 + 379、253 + 376,A - 四轨长条开始^^^B - 三轨长条中间,A - 一二轨滑键^^^B - 一轨单点、四轨长条结尾,267,525,55 + 0.0,378,B - 三轨长条中间,B - 二轨单点、四轨长条结尾,267,525,1227086,28 - 0.4
,,"CALL ME BABY","EXO",,红色,分开,189 + 314,B - 二轨单点、三轨单点^^^B - 一轨单点,B - 二轨长条中间^^^B - 三轨长条中间,163,400,58 - 0.2,314,B - 一轨单点,B - 三轨长条中间,163,400,833009,30 - 0.5
B,6,"背对背拥抱","林俊杰",100,红色,分开,360 + 625,A - 二轨单点、四轨单点^^^B - 二轨单点、四轨单点,A - 一轨单点、四轨长条中间^^^B - 一轨长条结尾、三轨长条结尾,457,803,76 - 0.2,360,A - 二轨单点、四轨单点,A - 一轨单点、四轨长条中间,457,803,1309070,39 - 0.4
W,6,"What Do You Mean?","Justin Bieber",,红色,分开,330 + 408、331 + 408、343 + 408,B - 二轨单点^^^B - 三轨单点,B - 一轨长条结尾、四轨单点^^^B - 二轨单点,228,606,67 + 0.3,408,B - 三轨单点,B - 二轨单点,228,606,1231083,34 - 0.2
,,"丑八怪","薛之谦",,红色,分开,147 + 550,A - 三轨单点^^^B - 三四轨滑条,A - 三轨长条左滑^^^B - 一轨长条中间、四轨长条中间,264,661,86 - 0.3,147,A - 三轨单点,A - 三轨长条左滑,264,661,1386558,44 + 0.4
,,"微微一笑很倾城","杨洋",,,分开,141 + 524,A - 一轨单点、四轨单点^^^B - 四轨单点,A - 一轨单点、三轨单点^^^B - 一轨单点、三轨单点,351,719,62 + 0.0,524,B - 四轨单点,B - 一轨单点、三轨单点,351,719,1309304,31 + 0.3
