字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Faded","Alan Walker",,红色,分开,105 + 220,A - 右下角数字 1 单点^^^B - 左上角数字 3 单点,A - 左上角数字 7 绿条中间^^^B - 右上角数字 6 单点,141,290,29 - 0.5,220,B - 左上角数字 3 单点,B - 右上角数字 6 单点,141,290,463306,15 - 0.5
,,"我们不该这样的","张赫宣",,红色,分开,91 + 248,A - 右边数字 6 单点、左边数字 6 单点^^^B - 下面数字 6 单点,A - 左下角数字 13 绿条开始^^^B - 中间数字 8 单点、中间数字 8 单点,131,286,49 - 0.1,248,B - 下面数字 6 单点,B - 中间数字 8 单点、中间数字 8 单点,131,286,664478,25 + 0.1
,,"Animals","Maroon 5",,红色,分开,37 + 164,A - 右下角数字 5 单点^^^B - 左上角数字 6 单点,A - 右边数字 5 绿条中间^^^B - 右边数字 7 绿条中间,99,187,26 - 0.3,164,B - 左上角数字 6 单点,B - 右边数字 7 绿条中间,99,187,370451,13 + 0.3
,,"动物森林","范玮琪",,红色,分开,157 + 223,B - 左下角数字 8 单点^^^B - 右下角数字 1 单点,B - 中间数字 8 蓝条结尾^^^B - 中间数字 3 绿条中间,113,271,43 + 0.3,223,B - 右下角数字 1 单点,B - 中间数字 3 绿条中间,113,271,656611,25 + 0.2
,,"小酒窝","林俊杰",,红色,分开,80 + 202、80 + 203、80 + 204,A - 左边数字 6 蓝条中间^^^B - 右下角数字 5 单点,A - 左下角数字 7 单点^^^B - 左下角数字 6 蓝条中间,152,283,52 - 0.2,202、203、204,B - 右下角数字 5 单点,B - 左下角数字 6 蓝条中间,152,283,764285,26 - 0.1
G,7,"Good Time","Owl City",,红色,分开,143 + 279、143 + 280、143 + 281、143 + 282、143 + 283、144 + 279、144 + 280、144 + 281、144 + 282、144 + 283,A - 左上角数字 4 单点^^^B - 右下角数字 3 蓝条开始,A - 下面数字 3 蓝条中间^^^B - 左下角数字 5 蓝条中间,190,337,66 - 0.5,143、144、145,A - 左上角数字 4 单点,A - 下面数字 3 蓝条中间,190,337,1030380,36 + 0.0
A,6,"Always Online","林俊杰",,红色,分开,45 + 114、45 + 116、45 + 117,A - 右上角数字 7 单点^^^A - 右下角数字 4 单点,A - 左上角数字 1 单点^^^A - 右下角数字 6 蓝条结尾,187,393,53 - 0.5,45,A - 右上角数字 7 单点,A - 左上角数字 1 单点,187,393,867269,28 + 0.0
,,"背对背拥抱","林俊杰",,红色,分开,158 + 285、158 + 286、158 + 287、158 + 288、158 + 289、158 + 290、158 + 291、158 + 285、158 + 286、158 + 287,A - 左下角数字 1 单点^^^B - 左上角数字 6 蓝条开始,A - 下面数字 7 单点^^^B - 左边数字 5 蓝条中间,225,391,58 - 0.3,285、286、287、288、289、290、291,B - 左上角数字 6 蓝条开始,B - 左边数字 5 蓝条中间,225,391,862241,30 + 0.2
,,"帝都","萌萌哒天团",,红色,分开,178 + 214,B - 右上角数字 4 单点^^^B - 右上角数字 4 单点,B - 左下角数字 7 绿条中间^^^B - 左下角数字 7 单点,107,260,30 + 0.1,214,B - 右上角数字 4 单点,B - 左下角数字 7 单点,107,260,516242,16 - 0.5
M,6,"Maps","Maroon 5",,红色,分开,224 + 250,B - 右下角数字 3 单点^^^B - 左上角数字 6 蓝条开始,B - 左下角数字 5 单点^^^B - 左上角数字 12 单点,161,366,53 + 0.2,249、250,B - 左下角数字 5 单点,B - 左上角数字 11 单点,161,366,937318,27 + 0.2
W,8,"What Makes You Beautiful","One Direction",,红色,分开,202 + 260、202 + 262、202 + 263、203 + 260、203 + 262、203 + 263、203 + 260、203 + 262、203 + 263、203 + 260,B - 左上角数字 1 单点^^^B - 左下角数字 9 绿条结尾、右边数字 1 单点,B - 左下角数字 9 单点^^^B - 右下角数字 9 单点,140,367,80 + 0.0,202、203、204、260、262、263,B - 左上角数字 1 单点,B - 左下角数字 9 单点,140,367,1138280,40 + 0.0
,,"李白","李荣浩",,红色,分开,136 + 245、136 + 246、136 + 247、136 + 245、136 + 246、136 + 247、136 + 245、136 + 246、136 + 247、136 + 245,A - 左边数字 2 单点^^^B - 右边数字 2 单点,A - 右下角数字 3 单点、左下角数字 3 单点^^^B - 右下角数字 3 单点、左下角数字 3 单点,193,337,54 + 0.0,136、137、138、245、246、247,A - 左边数字 2 单点,A - 右下角数字 3 单点、左下角数字 3 单点,193,337,998842,27 + 0.0
G,6,"给我一个理由忘记","A-Lin",,红色,存气,148 + 338、149 + 338,A - 右下角数字 2 单点^^^B - 右边数字 3 单点,A - 左下角数字 3 蓝条结尾^^^B - 右边数字 2 单点,173,481,44 + 0.4,334、340、341,B - 左下角数字 1 单点,B - 左上角数字 6 绿条中间,173,481,858319,23 + 0.1
,,"一笑倾城","汪苏泷",,红色,分开,101 + 300、101 + 301、101 + 322、101 + 300、101 + 301、101 + 322、101 + 300、101 + 301、101 + 322、101 + 300,A - 左边数字 9 蓝条开始^^^B - 左边数字 4 蓝条开始,A - 左上角数字 5 蓝条结尾^^^B - 左上角数字 5 蓝条结尾,154,349,42 + 0.0,101、102、300、301、322,A - 左边数字 9 蓝条开始,A - 左上角数字 5 蓝条结尾,154,349,752022,21 + 0.0
J,6,"Jar Of Love","曲婉婷",,红色,分开,76 + 226,A - 右上角数字 11 蓝条开始^^^B - 右上角数字 7 单点、左上角数字 7 单点,A - 左上角数字 2 蓝条结尾^^^B - 左上角数字 11 蓝条结尾、右上角数字 1 单点,146,384,58 - 0.3,226,B - 右上角数字 7 单点、左上角数字 7 单点,B - 左上角数字 11 蓝条结尾、右上角数字 1 单点,146,384,1015897,31 - 0.5
A,8,"Apple Is A","T-ara",,红色,分开,196 + 254,B - 下面数字 3 蓝条开始^^^B - 左下角数字 3 蓝条开始,B - 右边数字 7 绿条开始^^^B - 左边数字 7 绿条开始,171,329,65 + 0.0,196,B - 下面数字 3 蓝条开始,B - 右边数字 7 绿条开始,171,329,921620,33 + 0.0
,,"猫步轻俏","AOA",,红色,分开,148 + 192,B - 右边数字 2 绿条开始^^^B - 左下角数字 6 单点,B - 左下角数字 3 绿条结尾、右下角数字 3 绿条结尾^^^B - 右下角数字 10 单点,117,216,30 + 0.1,192,B - 左下角数字 6 单点,B - 右下角数字 10 单点,117,216,438503,16 - 0.1
,,"逆战","张杰",,红色,分开,100 + 220,A - 上面数字 2 单点^^^B - 左上角数字 5 蓝条开始,A - 右下角数字 5 单点^^^B - 右上角数字 12 绿条中间,197,355,47 + 0.3,220,B - 左上角数字 5 蓝条开始,B - 右上角数字 12 绿条中间,197,355,799533,27 + 0.2
H,8,"Here With You","Asher Book",,红色,分开,115 + 231,A - 左上角数字 1 单点、右上角数字 1 单点^^^B - 右上角数字 1 单点、左上角数字 1 单点,A - 左上角数字 3 蓝条结尾、右上角数字 3 蓝条结尾^^^B - 左上角数字 3 蓝条结尾、右上角数字 3 蓝条结尾,167,389,68 - 0.3,231,B - 右上角数字 1 单点、左上角数字 1 单点,B - 左上角数字 3 蓝条结尾、右上角数字 3 蓝条结尾,167,389,1124283,35 - 0.2
W,6,"微微一笑很倾城","杨洋",,,分开,44 + 353,A - 左上角数字 1 蓝条中间^^^B - 右上角数字 7 蓝条开始,A - 右下角数字 4 单点^^^B - 左上角数字 6 蓝条结尾,199,423,48 + 0.0,44,A - 左上角数字 1 蓝条中间,A - 右下角数字 4 单点,199,423,1002721,25 + 0.0
J,10,"JELLY JELLY","TWICE",,,分开,284 + 607、284 + 610、284 + 612、284 + 613、284 + 614、284 + 615、284 + 616、287 + 607、287 + 610、287 + 612,A - 右下角数字 8 绿条结尾、左下角数字 1 单点、右下角数字 1 单点^^^B - 右下角数字 8 绿条结尾、右下角数字 1 单点、左下角数字 1 单点,A - 右下角数字 6 单点^^^B - 右下角数字 6 单点,352,658,71 + 0.4,284、287、289、290、291、292、293、607、610、612,A - 右下角数字 8 绿条结尾、左下角数字 1 单点、右下角数字 1 单点,A - 右下角数字 6 单点,352,658,1730478,36 - 0.3
,,"不完美小孩","TFBOYS",,红色,分开,64 + 153、64 + 154、64 + 159、64 + 160、64 + 161、64 + 162、64 + 163、65 + 153、65 + 154、65 + 159,A - 右下角数字 3 绿条中间^^^B - 右边数字 5 蓝条开始,A - 左下角数字 7 单点^^^B - 左下角数字 7 绿条结尾、右下角数字 7 绿条结尾,128,323,50 + 0.0,153、154、159、160、161、162、163,B - 右边数字 5 蓝条开始,B - 左下角数字 7 绿条结尾、右下角数字 7 绿条结尾,128,323,867973,25 - 0.3
W,6,"我们都一样","张杰",,,分开,13 + 134、13 + 135、13 + 134、13 + 135、13 + 134、13 + 135、13 + 134、13 + 135、13 + 134、13 + 135,A - 左下角数字 4 蓝条开始^^^A - 右边数字 5 单点,A - 右上角数字 6 单点^^^A - 左上角数字 9 蓝条中间,216,370,44 + 0.2,134、135,A - 右边数字 5 单点,A - 左上角数字 9 蓝条中间,216,370,913050,21 + 0.2
T,6,"Trouble Is a Friend","Lenka",,红色,分开,245 + 284、246 + 284,B - 右上角数字 1 单点^^^B - 左边数字 5 单点,B - 右边数字 3 单点^^^B - 右下角数字 6 蓝条结尾、左边数字 7 绿条开始,156,386,67 + 0.2,284,B - 左边数字 5 单点,B - 右下角数字 6 蓝条结尾、左边数字 7 绿条开始,156,386,997005,34 + 0.1
